dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
300_signal1	100	2	2	1.0477167750068763	17	1676	384	0.9999333333333333	8.775066666666667	2	1560	384	0.9999333333333333	2.2586
300_signal1	100	2	3	0.8830115774090238	36	1120	171	1.0	6.5695	9	904	145	1.0	2.2626666666666666
300_signal1	100	2	4	0.8471192583799715	34	1036	311	1.0	7.791166666666666	10	848	81	1.0	1.6735333333333333
300_signal1	100	2	5	0.8006476810214834	38	1946	264	0.9998	10.396266666666667	6	1700	228	0.9998	2.2624666666666666
300_signal1	100	2	6	0.7546643594362827	54	1922	336	1.0	8.6787	9	1574	60	1.0	1.4522333333333333
300_signal1	100	2	7	0.7589233033065277	50	2898	375	0.9998333333333334	11.388533333333333	6	2514	196	0.9998333333333334	2.4021333333333335
300_signal1	100	2	8	0.7426156886642967	72	2602	204	1.0	10.484133333333334	19	2188	100	1.0	2.0911
300_signal1	100	2	9	0.7379834688609511	79	4822	382	0.9998333333333334	11.167966666666667	6	4184	220	0.9998333333333334	3.0204
300_signal1	100	2	10	0.7228829986874783	95	6056	315	0.9999333333333333	12.676766666666667	6	5322	315	0.9999333333333333	2.1481
300_signal1	100	2	12	0.7138874348122634	99	6636	294	0.9999333333333333	12.9204	7	5796	294	0.9999333333333333	3.233966666666667
300_signal1	100	4	2	0.7959558980583434	122	7624	387	1.0	12.6115	15	6656	193	1.0	2.4573666666666667
300_signal1	100	4	3	0.7328265129853812	323	16992	141	1.0	16.270466666666668	61	14688	85	1.0	1.9525
300_signal1	100	4	4	0.6715235574193194	518	25976	155	1.0	17.0676	88	22184	109	1.0	1.9735333333333334
300_signal1	100	4	5	0.6291570430059054	632	29284	120	0.9999333333333333	20.622666666666667	23	24104	90	0.9999333333333333	3.0012
300_signal1	100	4	6	0.6010003965045895	789	39368	122	1.0	23.225733333333334	135	33552	104	1.0	1.9183
300_signal1	100	4	7	0.5779311415639636	984	45592	111	1.0	25.311366666666668	148	38300	64	1.0	1.8762666666666667
300_signal1	100	4	8	0.5729560474728251	1173	54120	108	1.0	27.1354	152	45328	108	1.0	1.9338
300_signal1	100	4	9	0.5620600350584001	1294	57776	109	0.9999	29.606066666666667	32	47028	109	0.9999	3.2779333333333334
300_signal1	100	4	10	0.5530799776984751	1438	62548	103	0.9999666666666667	30.911066666666667	29	50472	84	0.9999666666666667	2.8423666666666665
300_signal1	100	4	12	0.543006755814059	1768	76088	94	1.0	34.362833333333334	147	62160	82	1.0	1.8908666666666667
300_signal1	100	6	2	0.746106692068659	276	21848	169	1.0	14.847533333333333	52	19588	133	1.0	2.2325333333333335
300_signal1	100	6	3	0.6751884622113455	669	43292	106	0.9999	19.370233333333335	30	36356	106	0.9999	3.0548
300_signal1	100	6	4	0.5866930880835193	949	59744	97	0.9999333333333333	22.088833333333334	32	50000	76	0.9999333333333333	2.6275666666666666
300_signal1	100	6	5	0.5349283696046464	1160	73302	102	0.9999666666666667	26.0814	33	61180	102	0.9999666666666667	3.0841666666666665
300_signal1	100	6	6	0.511165661457283	1470	97482	124	1.0	31.1719	139	82954	124	1.0	1.9464666666666666
300_signal1	100	6	7	0.4890122329573294	1656	106194	108	1.0	30.9096	164	89990	108	1.0	1.8845333333333334
300_signal1	100	6	8	0.47697642253683337	1921	119618	112	0.9999333333333333	34.2345	50	98754	112	0.9999333333333333	3.1889
300_signal1	100	6	9	0.46803023244375486	2056	128632	87	0.9997666666666667	33.63153333333333	65	106594	87	0.9997666666666667	2.7669
300_signal1	100	6	10	0.45871335710492217	2152	141098	77	1.0	34.74126666666667	170	118976	77	1.0	1.8017333333333334
300_signal1	100	6	12	0.44993966999575513	2295	154302	77	0.9998	34.22656666666666	74	128848	77	0.9998	2.5484666666666667
300_signal1	100	8	2	0.7087122486442848	433	45324	124	1.0	17.4547	65	40908	124	1.0	1.8155
300_signal1	100	8	3	0.6442852524361493	1055	85060	86	0.9998	23.748033333333332	37	71752	86	0.9998	3.0401333333333334
300_signal1	100	8	4	0.5529488606133318	1359	113400	118	0.9999	27.87623333333333	51	95768	103	0.9999	2.9175333333333335
300_signal1	100	8	5	0.4993764710008045	1590	136856	125	1.0	30.7208	151	117696	125	1.0	1.8470666666666666
300_signal1	100	8	6	0.4732487374816745	1927	165412	79	1.0	33.05116666666667	169	141728	79	1.0	1.8921333333333332
300_signal1	100	8	7	0.4500841991176293	2065	179720	94	0.9992666666666666	32.93926666666667	73	152120	94	0.9992666666666666	2.6349666666666667
300_signal1	100	8	8	0.43340489922422687	2138	196716	116	0.9980333333333333	33.43216666666667	76	167624	116	0.9980333333333333	2.8217666666666665
300_signal1	100	8	9	0.4211469446556733	2265	208532	65	0.9982666666666666	31.7399	80	177356	62	0.9982666666666666	2.7140333333333335
300_signal1	100	8	10	0.4088930837782083	2226	216492	64	0.9937	32.22156666666667	85	185900	53	0.9937	2.7161666666666666
300_signal1	100	8	12	0.39592135181226795	2227	234856	54	0.9855	26.8769	109	203264	54	0.9855	2.2621
300_signal1	100	10	2	0.6801345582256584	616	75470	119	1.0	20.266566666666666	70	67786	119	1.0	1.8049666666666666
300_signal1	100	10	3	0.6188900199181724	1371	140418	96	0.9999	25.9466	36	119432	96	0.9999	2.4610666666666665
300_signal1	100	10	4	0.5283433858566705	1590	177462	91	0.9998333333333334	27.821466666666666	78	152142	88	0.9998333333333334	2.7575333333333334
300_signal1	100	10	5	0.47290959662020227	1822	213658	98	1.0	32.891866666666665	157	186688	98	1.0	1.8212
300_signal1	100	10	6	0.44778058011672844	2153	243044	57	0.9964333333333333	33.0692	58	208282	57	0.9964333333333333	2.6968666666666667
300_signal1	100	10	7	0.42267061646125886	2162	263550	75	0.9957	31.771566666666665	97	228098	75	0.9957	3.0179
300_signal1	100	10	8	0.40603210990267247	2144	282728	93	0.9885666666666667	29.74513333333333	108	247596	93	0.9885666666666667	2.5319
300_signal1	100	10	9	0.39298307713660513	2138	294344	61	0.9876	27.2366	119	258812	61	0.9876	2.3556666666666666
300_signal1	100	10	10	0.3801127335978078	2091	302162	50	0.9825666666666667	25.301933333333334	131	267198	50	0.9825666666666667	2.1802333333333332
300_signal1	100	10	12	0.36557334423062937	1845	310474	33	0.9629	19.390233333333335	139	279024	33	0.9629	2.1447
300_signal1	100	12	2	0.6587760007872594	751	109908	101	1.0	21.892233333333333	99	98628	101	1.0	2.0303333333333335
300_signal1	100	12	3	0.5993992247488138	1551	193572	84	0.9999666666666667	26.704033333333335	61	165352	84	0.9999666666666667	3.6014666666666666
300_signal1	100	12	4	0.507709267140507	1741	247688	112	0.9972333333333333	28.502966666666666	87	215364	112	0.9972333333333333	2.8072666666666666
300_signal1	100	12	5	0.45267229573996953	1821	275004	102	0.9948666666666667	30.023633333333333	82	241104	102	0.9948666666666667	2.7062333333333335
300_signal1	100	12	6	0.4275874127493954	2111	317696	72	0.9893333333333333	27.803766666666668	83	276124	72	0.9893333333333333	2.6755333333333335
300_signal1	100	12	7	0.40231495097359465	2027	338732	58	0.9836	25.9051	129	299592	58	0.9836	2.5683333333333334
300_signal1	100	12	8	0.3851314300437422	1912	353468	50	0.9755333333333334	23.108933333333333	142	316820	50	0.9755333333333334	2.3634333333333335
300_signal1	100	12	9	0.37174670876050947	1748	362288	44	0.9672	19.011733333333332	136	327412	44	0.9672	2.123666666666667
300_signal1	100	12	10	0.358821643514045	1626	364160	53	0.9523333333333334	17.643666666666668	158	332228	53	0.9523333333333334	2.1635333333333335
300_signal1	100	12	12	0.34388500715327064	1222	369080	28	0.8858333333333334	11.531933333333333	169	345372	28	0.8858333333333334	1.8008
300_signal1	100	14	2	0.641721809094812	933	139084	112	1.0	21.6684	111	122798	112	1.0	1.9758666666666667
300_signal1	100	14	3	0.583219244286138	1656	261622	74	0.9962666666666666	25.688866666666666	63	226116	74	0.9962666666666666	2.9154
300_signal1	100	14	4	0.49090528510963016	1663	312710	99	0.9926333333333334	25.6791	97	276926	99	0.9926333333333334	2.841666666666667
300_signal1	100	14	5	0.4360844466844382	1791	340740	105	0.9865333333333334	25.892033333333334	102	302322	105	0.9865333333333334	2.162933333333333
300_signal1	100	14	6	0.41114208293862464	1812	377046	44	0.9764	21.1788	112	335736	44	0.9764	2.2301333333333333
300_signal1	100	14	7	0.38543021508608455	1639	394000	64	0.9633666666666667	19.154066666666665	137	357472	64	0.9633666666666667	2.3599
300_signal1	100	14	8	0.3686584962449994	1344	400188	49	0.9335	14.744566666666667	166	370840	49	0.9335	2.1875
300_signal1	100	14	9	0.3551491691823986	1262	414022	23	0.9193333333333333	12.1699	165	385594	23	0.9193333333333333	1.7952
300_signal1	100	14	10	0.34215818684461013	1158	414988	23	0.8790666666666667	11.234366666666666	182	389784	23	0.8790666666666667	1.9161333333333332
300_signal1	100	14	12	0.32624983442125627	771	419162	25	0.7769	6.7617666666666665	161	403192	25	0.7769	1.5349
300_signal1	100	16	2	0.6278827480115007	1105	203616	94	1.0	25.83053333333333	106	181960	94	1.0	1.9215
300_signal1	100	16	3	0.5689173339094589	1704	335292	79	0.9901	25.445	68	293324	79	0.9901	2.725
300_signal1	100	16	4	0.4771000685194887	1532	374164	58	0.9876	21.4311	126	337928	58	0.9876	2.406633333333333
300_signal1	100	16	5	0.4227746112499553	1693	407392	40	0.9711333333333333	22.3272	129	366576	39	0.9711333333333333	2.3
300_signal1	100	16	6	0.3973811976837516	1581	449440	40	0.9591333333333333	17.2218	128	407696	40	0.9591333333333333	2.0689333333333333
300_signal1	100	16	7	0.3713541293939573	1319	458560	51	0.9128	14.3661	167	425992	33	0.9128	1.9914
300_signal1	100	16	8	0.3545554304388892	1062	463364	30	0.8742666666666666	10.997333333333334	180	438004	30	0.8742666666666666	1.9539666666666666
300_signal1	100	16	9	0.3410395640904199	898	471852	14	0.8330333333333333	8.338866666666666	174	449884	11	0.8330333333333333	1.6095666666666666
300_signal1	100	16	10	0.3280632466832571	827	472808	18	0.7863	7.697733333333334	176	453584	16	0.7863	1.5574333333333332
300_signal1	100	16	12	0.31172033506896374	489	475508	13	0.663	4.366933333333333	136	464528	13	0.663	1.3128666666666666
300_signal1	100	18	2	0.6161005311248426	1252	246058	99	0.9996	27.456566666666667	46	215844	99	0.9996	2.9401
300_signal1	100	18	3	0.5566243800441215	1762	413190	55	0.9770333333333333	23.602766666666668	86	363890	55	0.9770333333333333	2.328
300_signal1	100	18	4	0.46489450413484035	1504	466574	70	0.9725	21.428766666666668	142	427658	70	0.9725	2.160833333333333
