dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
TEK14	100	2	2	1.0880003058218628	31	664	45	1.0	6.2766	11	530	45	1.0	3.1042
TEK14	100	2	3	0.8641259092843507	4	74	11	0.9532	2.4322	2	54	9	0.9532	1.0868
TEK14	100	2	4	0.9595436627068565	39	896	26	0.9922	6.7266	9	686	24	0.9922	2.7392
TEK14	100	2	5	0.8191892013939508	12	230	11	1.0	3.8514	6	174	11	1.0	1.9814
TEK14	100	2	6	0.8340696636689714	38	826	55	1.0	6.8872	11	636	24	1.0	2.7184
TEK14	100	2	7	0.7715320981754492	15	340	19	1.0	3.7236	7	258	19	1.0	2.5142
TEK14	100	2	8	0.7973662984125693	44	950	53	1.0	7.7058	9	720	53	1.0	3.0084
TEK14	100	2	9	0.767646841354035	23	506	27	1.0	5.057	8	386	27	1.0	2.4438
TEK14	100	2	10	0.7824819145456493	48	1038	54	1.0	8.2972	15	794	25	1.0	2.5382
TEK14	100	2	12	0.760348568531119	51	1134	54	1.0	8.326	16	864	21	1.0	2.5664
TEK14	100	4	2	1.0699630638514495	161	6476	165	0.9996	24.721	10	5244	165	0.9996	5.8046
TEK14	100	4	3	0.8025289102660483	42	1372	34	0.9542	5.4192	11	1080	34	0.9542	1.8774
TEK14	100	4	4	0.8300873647202278	192	7728	166	0.9996	26.053	14	6188	75	0.9996	3.7446
TEK14	100	4	5	0.7339717787417889	83	3168	15	1.0	7.6964	20	2488	11	1.0	1.889
TEK14	100	4	6	0.7468336724199816	194	8208	261	0.9996	26.0756	18	6604	77	0.9996	3.8294
TEK14	100	4	7	0.7080346111919084	134	5128	25	0.9982	11.1044	20	4052	12	0.9982	2.0268
TEK14	100	4	8	0.714217817544485	222	9428	261	0.9946	27.2194	21	7548	77	0.9946	3.46
TEK14	100	4	9	0.6942586023331507	170	7004	26	1.0	13.0884	28	5592	13	1.0	1.9552
TEK14	100	4	10	0.6956339251383634	244	10912	261	0.9996	27.3084	17	8676	77	0.9996	3.213
TEK14	100	4	12	0.6830065505084106	254	11696	263	0.9866	26.866	19	9392	78	0.9866	2.9826
TEK14	100	6	2	1.0388678328859735	239	12762	38	1.0	20.8932	28	10412	38	1.0	2.581
TEK14	100	6	3	0.793402545142508	71	3700	28	0.9932	7.049	14	2970	28	0.9932	2.533
TEK14	100	6	4	0.8097017846307467	281	15086	26	1.0	21.6142	33	12070	26	1.0	2.963
TEK14	100	6	5	0.7176952298158351	135	8096	17	1.0	9.9658	26	6660	17	1.0	2.3388
TEK14	100	6	6	0.7259631639649795	284	17150	26	0.9986	21.588	28	14070	19	0.9986	2.7534
TEK14	100	6	7	0.6814100804592206	139	10770	9	0.9992	8.0506	23	9014	9	0.9992	1.833
TEK14	100	6	8	0.6865214073690284	274	19176	26	0.9956	20.0732	31	16016	17	0.9956	2.6546
TEK14	100	6	9	0.6603683834689789	152	13452	9	0.9942	8.9262	28	11642	8	0.9942	1.9012
TEK14	100	6	10	0.6621717983410638	276	20882	26	0.9774	19.9232	31	17742	18	0.9774	2.3808
TEK14	100	6	12	0.6481806899015617	265	22552	26	0.9404	18.402	30	19352	26	0.9404	2.139
TEK14	100	8	2	1.0109230184477231	215	18592	46	0.9992	15.018	23	15640	46	0.9992	3.0882
TEK14	100	8	3	0.7878463148987724	114	9264	25	0.9976	8.8352	19	7588	25	0.9976	2.0608
TEK14	100	8	4	0.7880913786598644	248	22576	46	0.9986	15.7888	29	19032	46	0.9986	2.8488
TEK14	100	8	5	0.7084846111671086	136	15272	10	0.9996	8.2162	24	13212	8	0.9996	1.8982
TEK14	100	8	6	0.7101659203452731	243	26416	46	0.9796	15.481	27	22804	46	0.9796	2.6106
TEK14	100	8	7	0.6704302196192107	118	19220	16	0.9148	7.1452	27	17260	16	0.9148	1.973
TEK14	100	8	8	0.6702042877456942	236	29716	46	0.9238	15.1072	30	26056	46	0.9238	2.8746
TEK14	100	8	9	0.6479352283199363	144	23536	18	0.897	8.6154	26	21096	5	0.897	1.505
TEK14	100	8	10	0.6456762670531645	240	31292	46	0.8088	14.2432	23	27564	46	0.8088	2.3948
TEK14	100	8	12	0.6315741886617072	239	33272	46	0.75	14.0646	23	29480	46	0.75	2.0632
TEK14	100	10	2	0.9909582107461238	78	19190	18	0.9762	5.9448	21	17864	18	0.9762	1.8754
TEK14	100	10	3	0.7810461644797364	118	15586	12	0.9474	7.5868	23	13578	12	0.9474	1.8838
TEK14	100	10	4	0.7787596583319892	113	25732	13	0.9192	6.436	31	23634	13	0.9192	1.9178
TEK14	100	10	5	0.6938267577737763	104	22912	8	0.8532	6.0558	25	20794	8	0.8532	1.597
TEK14	100	10	6	0.6983805634123974	102	29244	12	0.792	5.611	28	27276	5	0.792	1.4864
TEK14	100	10	7	0.6578130507567196	108	27466	6	0.7516	6.0034	22	25082	6	0.7516	1.3748
TEK14	100	10	8	0.6616520854967544	114	32990	5	0.7056	5.7114	25	30626	5	0.7056	1.2982
TEK14	100	10	9	0.6358713582526688	117	30940	6	0.7668	6.168	22	28576	4	0.7668	1.2656
TEK14	100	10	10	0.6374698776173456	115	35186	5	0.692	5.5298	27	32974	5	0.692	1.3212
TEK14	100	10	12	0.621904409954213	115	38040	5	0.7192	5.5	25	35630	5	0.7192	1.2452
TEK14	100	12	2	0.9747395674542059	77	29156	31	0.898	7.9158	24	27932	28	0.898	2.3072
TEK14	100	12	3	0.7780759817828272	111	23296	27	0.9366	7.6744	30	21048	8	0.9366	1.8868
TEK14	100	12	4	0.7671231984010165	127	39064	31	0.802	8.7424	27	36612	8	0.802	1.6584
TEK14	100	12	5	0.6899580358800419	117	31220	12	0.8142	7.0728	22	28600	7	0.8142	1.6026
TEK14	100	12	6	0.6877198450327839	156	45564	31	0.7092	9.4516	27	42024	31	0.7092	2.1526
TEK14	100	12	7	0.6515875911210236	132	37952	13	0.7874	7.7104	23	34988	13	0.7874	1.549
TEK14	100	12	8	0.6492165856461253	129	48256	31	0.7204	7.9294	26	45324	8	0.7204	1.456
TEK14	100	12	9	0.6296421502691453	143	42440	10	0.7626	7.527	24	38940	10	0.7626	1.581
TEK14	100	12	10	0.6263501587551934	142	51192	31	0.6842	8.1116	27	47996	15	0.6842	1.4882
TEK14	100	12	12	0.6113977064596351	132	53884	31	0.6662	7.5064	26	51020	4	0.6662	1.2684
TEK14	100	14	2	0.9555256391339217	133	39696	54	0.8106	12.1504	17	36706	11	0.8106	1.5058
TEK14	100	14	3	0.7774042722480011	115	32210	18	0.9294	8.459	23	29462	18	0.9294	2.279
TEK14	100	14	4	0.752694591477325	182	51758	15	0.7842	11.4874	22	47030	14	0.7842	2.0038
TEK14	100	14	5	0.6871018777341851	133	42660	12	0.7798	8.0012	22	39256	12	0.7798	1.4754
TEK14	100	14	6	0.6741652204861711	208	59160	15	0.7548	11.9508	24	53834	8	0.7548	1.5914
TEK14	100	14	7	0.6481384011924818	174	54302	19	0.7694	11.5254	24	49908	19	0.7694	2.1252
TEK14	100	14	8	0.6373570928301708	187	61922	15	0.76	10.7676	25	56984	15	0.76	1.615
TEK14	100	14	9	0.6239035375678792	195	63138	11	0.7274	10.3062	26	58280	11	0.7274	1.626
TEK14	100	14	10	0.6140318855373517	169	63500	15	0.717	9.368	28	59016	6	0.717	1.5804
TEK14	100	14	12	0.6004650667568174	146	65824	14	0.6906	7.8244	28	61962	6	0.6906	1.4926
TEK14	100	16	2	0.9526484856359569	72	43668	34	0.6824	7.2228	13	42100	14	0.6824	1.3332
TEK14	100	16	3	0.7708205407841499	107	37872	15	0.8024	7.1806	21	34888	15	0.8024	1.8518
TEK14	100	16	4	0.7545436868756111	122	59824	11	0.6592	7.0168	22	56160	11	0.6592	1.3926
TEK14	100	16	5	0.6797356787599913	124	49564	9	0.7244	6.9596	22	45788	8	0.7244	1.4012
TEK14	100	16	6	0.6745743385286996	140	66728	6	0.64	7.3808	24	62548	5	0.64	1.1958
TEK14	100	16	7	0.6403614683382364	125	55960	5	0.7414	6.3362	22	52168	5	0.7414	1.2852
TEK14	100	16	8	0.6374995778476092	113	70480	5	0.6182	5.4848	27	66988	5	0.6182	1.2502
TEK14	100	16	9	0.6176345899201027	118	62136	8	0.7398	6.018	26	58412	8	0.7398	1.4602
TEK14	100	16	10	0.6133597502279802	112	72628	5	0.5818	5.4102	24	69500	5	0.5818	1.1814
TEK14	100	16	12	0.5981834945174114	90	74564	4	0.5716	4.1736	25	72068	4	0.5716	1.141
TEK14	100	18	2	0.9402196089261072	102	53150	39	0.796	10.086	19	50716	39	0.796	2.6044
TEK14	100	18	3	0.7690776085399673	128	49876	18	0.7936	8.9638	17	45606	7	0.7936	1.3888
