dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
ecg0606	100	2	2	1.1666759056379217	6	186	37	0.9930404523705959	7.499782514136581	2	154	37	0.9930404523705959	2.5432796868203567
ecg0606	100	2	3	0.832905560731883	4	48	6	1.0	2.7285776424532404	3	42	6	1.0	2.012179208351457
ecg0606	100	2	4	0.8342154801241018	7	136	22	0.9930404523705959	6.278381905176164	3	106	22	0.9930404523705959	2.9264897781644192
ecg0606	100	2	5	0.79007056708181	8	176	24	1.0	5.560678555893867	3	136	24	1.0	3.245759025663332
ecg0606	100	2	6	0.7731178362925263	11	240	35	0.9930404523705959	6.687690300130492	3	178	35	0.9930404523705959	2.665071770334928
ecg0606	100	2	7	0.7508957793706431	8	138	22	1.0	6.766855154414963	4	110	22	1.0	2.8590691605045673
ecg0606	100	2	8	0.7446613984679152	17	362	22	0.9930404523705959	7.404958677685951	4	266	22	0.9930404523705959	2.795998260113093
ecg0606	100	2	9	0.7349264284004248	13	304	26	1.0	7.997825141365811	3	232	26	1.0	1.8138321009134406
ecg0606	100	2	10	0.7249113870754174	17	460	29	0.9978251413658112	8.189212701174423	5	362	24	0.9978251413658112	2.8851674641148324
ecg0606	100	2	12	0.7156905812596476	15	386	24	1.0	7.694214876033058	4	300	24	1.0	2.1374510656807306
ecg0606	100	4	2	0.8740554318145131	30	1228	24	1.0	9.07568508046977	4	964	24	1.0	2.083514571552849
ecg0606	100	4	3	0.742459927904592	37	1620	12	1.0	9.491953023053501	8	1292	12	1.0	1.6367986080904742
ecg0606	100	4	4	0.7074668204742935	65	2672	18	1.0	14.430622009569378	9	2104	15	1.0	2.293605915615485
ecg0606	100	4	5	0.6606294653075274	81	3020	13	0.9952153110047847	14.859069160504568	9	2308	13	0.9952153110047847	1.8929969551979122
ecg0606	100	4	6	0.6183864515348375	67	3148	11	1.0	12.08133971291866	9	2508	11	1.0	2.277511961722488
ecg0606	100	4	7	0.6178475706271679	119	4304	14	1.0	19.93562418442801	11	3324	14	1.0	1.5819921705089168
