dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
mitdbx_108	100	2	2	0.8149504363742224	13	276	118	1.0	5.4067592592592595	6	224	42	1.0	2.0214351851851853
mitdbx_108	100	2	3	0.9082658720976564	25	596	94	1.0	5.273935185185185	12	488	94	1.0	2.2794444444444446
mitdbx_108	100	2	4	0.8698583004062146	43	1130	111	0.9972685185185185	5.754166666666666	13	898	86	0.9972685185185185	2.430509259259259
mitdbx_108	100	2	5	0.767319339764959	34	1058	109	1.0	7.117685185185185	6	844	100	1.0	1.5921759259259258
mitdbx_108	100	2	6	0.7189745442683189	29	788	84	1.0	6.235092592592593	9	632	84	1.0	2.3585185185185185
mitdbx_108	100	2	7	0.722524762471017	50	1232	126	1.0	7.177777777777778	14	956	51	1.0	2.2262037037037037
mitdbx_108	100	2	8	0.7175567134644514	64	1646	129	1.0	8.167268518518519	24	1336	68	1.0	2.203240740740741
mitdbx_108	100	2	9	0.7019518336128818	62	2202	106	0.9997685185185186	8.229166666666666	9	1792	106	0.9997685185185186	3.7269444444444444
mitdbx_108	100	2	10	0.6915069713668056	66	1806	102	1.0	8.38699074074074	21	1446	78	1.0	2.0166203703703705
mitdbx_108	100	2	12	0.6789182324074565	88	2450	129	1.0	9.143194444444445	26	1960	51	1.0	1.8077314814814816
mitdbx_108	100	4	2	0.7955120527598519	108	4092	77	0.9993518518518518	7.952546296296297	18	3316	77	0.9993518518518518	2.826574074074074
mitdbx_108	100	4	3	0.7007490234258708	269	9864	65	0.9996296296296296	10.254675925925927	29	7764	65	0.9996296296296296	2.428564814814815
mitdbx_108	100	4	4	0.6311915686586203	340	14352	66	0.9993518518518518	11.667962962962964	31	11552	66	0.9993518518518518	2.799861111111111
mitdbx_108	100	4	5	0.601662708923977	509	20060	52	1.0	14.26013888888889	90	16388	52	1.0	1.8534722222222222
mitdbx_108	100	4	6	0.5833949443960057	598	24212	46	1.0	14.911851851851852	101	19864	46	1.0	1.8506018518518519
mitdbx_108	100	4	7	0.5677922596731069	743	29308	45	0.9999074074074074	17.43777777777778	48	23224	45	0.9999074074074074	2.667222222222222
mitdbx_108	100	4	8	0.5549902309686119	816	32272	39	0.9993518518518518	17.636944444444445	54	25552	39	0.9993518518518518	2.4206481481481483
mitdbx_108	100	4	9	0.547781047050653	935	36880	44	0.9993981481481482	20.237083333333334	57	29264	33	0.9993981481481482	2.508425925925926
mitdbx_108	100	4	10	0.5384929241265837	1021	40928	39	1.0	20.721064814814813	121	33004	39	1.0	1.822685185185185
mitdbx_108	100	4	12	0.5188259292888342	1126	46260	47	0.9984259259259259	21.938564814814814	67	36968	40	0.9984259259259259	2.3500925925925924
mitdbx_108	100	6	2	0.7564873113108577	245	13490	127	0.9999074074074074	9.63574074074074	18	11068	127	0.9999074074074074	2.748425925925926
