dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
nprs44	100	2	2	1.3218181965836295	32	1144	206	1.0	7.839875647668394	7	960	206	1.0	2.6059274611398964
nprs44	100	2	3	0.9757807018340583	14	474	51	0.9808911917098445	3.232704663212435	3	382	51	0.9808911917098445	1.3584248704663213
nprs44	100	2	4	0.9922165778216092	36	1024	186	1.0	7.5424663212435235	9	826	186	1.0	2.816663212435233
nprs44	100	2	5	0.9349066273113158	30	1514	160	0.9996683937823834	5.750051813471503	3	1290	160	0.9996683937823834	2.300518134715026
nprs44	100	2	6	0.9243516639603541	54	1268	253	1.0	6.52460103626943	20	1020	81	1.0	2.4350259067357514
nprs44	100	2	7	0.9018407780795599	41	2086	229	1.0	6.679253886010363	4	1786	229	1.0	2.8585284974093264
nprs44	100	2	8	0.8942493975536713	61	1558	207	1.0	7.668849740932642	21	1252	84	1.0	1.9974300518134716
nprs44	100	2	9	0.883791120945018	56	1926	272	1.0	7.551129533678757	17	1630	270	1.0	3.0935544041450775
nprs44	100	2	10	0.8770685770158935	77	2810	189	0.9997927461139896	7.823461139896373	9	2296	189	0.9997927461139896	3.3465284974093263
nprs44	100	2	12	0.8659786036421744	98	2562	298	1.0	8.765305699481866	33	2068	77	1.0	2.1345492227979275
nprs44	100	4	2	0.9826951209980908	306	14772	177	1.0	15.229761658031087	67	12788	159	1.0	2.0596062176165804
nprs44	100	4	3	0.9600575968906198	619	27672	113	1.0	20.366466321243525	109	23388	113	1.0	1.9535751295336787
nprs44	100	4	4	0.8832954361766596	741	31416	98	0.9994611398963731	21.13658031088083	32	25488	98	0.9994611398963731	2.945036269430052
nprs44	100	4	5	0.8247212589458314	865	35560	92	0.9995025906735752	22.929823834196892	39	28672	70	0.9995025906735752	3.075440414507772
nprs44	100	4	6	0.8000395208958699	1125	44948	66	0.9995854922279793	26.442155440414506	45	35896	57	0.9995854922279793	3.3186735751295338
nprs44	100	4	7	0.7889855266833242	1434	54112	52	0.9995025906735752	28.120290155440415	60	42600	52	0.9995025906735752	2.7836269430051814
nprs44	100	4	8	0.7766874188400446	1599	59956	50	0.9990051813471502	29.10379274611399	62	46988	50	0.9990051813471502	2.7755025906735753
nprs44	100	4	9	0.7645783883077778	1698	64204	41	0.997720207253886	29.339481865284974	71	50524	41	0.997720207253886	2.664953367875648
nprs44	100	4	10	0.7563469943227575	1788	69060	37	0.9979689119170985	29.609243523316064	75	54448	37	0.9979689119170985	2.7549430051813473
nprs44	100	4	12	0.7449114131727876	2090	79372	29	0.9990466321243523	30.285056994818653	88	62376	29	0.9990466321243523	2.4848497409326424
nprs44	100	6	2	0.8054217845329377	488	34630	130	0.9997512953367875	20.62934715025907	18	29936	130	0.9997512953367875	3.052145077720207
nprs44	100	6	3	0.7818873534834243	1187	68830	108	0.9966424870466322	27.08899481865285	42	56524	108	0.9966424870466322	2.9894715025906735
nprs44	100	6	4	0.7523744601806874	1585	91276	38	0.9997512953367875	25.791046632124353	73	74110	38	0.9997512953367875	2.5723937823834198
nprs44	100	6	5	0.6983226920663856	1675	100268	49	0.9993782383419689	25.486466321243523	83	81846	49	0.9993782383419689	2.637222797927461
nprs44	100	6	6	0.6575448579203358	1887	113140	29	0.9958963730569949	25.99958549222798	93	91926	29	0.9958963730569949	2.351295336787565
nprs44	100	6	7	0.6384504734213656	1934	125266	28	0.9930777202072539	23.45135751295337	115	103238	28	0.9930777202072539	1.9597098445595855
nprs44	100	6	8	0.6286362575805209	1734	131730	14	0.9934507772020725	19.0399585492228	141	112230	14	0.9934507772020725	1.8705492227979275
nprs44	100	6	9	0.618823498702189	1560	135632	14	0.9837512953367875	16.08414507772021	143	117860	14	0.9837512953367875	1.8232124352331607
nprs44	100	6	10	0.6086339741739087	1393	138712	21	0.9873575129533678	14.055917098445596	143	122964	21	0.9873575129533678	1.6755647668393783
nprs44	100	6	12	0.5941161224803087	1081	142190	7	0.9717720207253886	10.096082901554404	168	130538	7	0.9717720207253886	1.648041450777202
nprs44	100	8	2	0.7306119211079055	742	63140	102	0.9998341968911917	24.432870466321244	22	54396	100	0.9998341968911917	2.7614507772020724
nprs44	100	8	3	0.6858539253016896	1535	117456	46	0.9926632124352331	27.916932642487048	58	96728	46	0.9926632124352331	2.6745284974093266
nprs44	100	8	4	0.6605439464456568	1733	151504	35	0.9927046632124352	22.25343005181347	100	126448	35	0.9927046632124352	2.1288704663212434
nprs44	100	8	5	0.6075297748506119	1508	161380	30	0.995979274611399	18.215046632124352	114	139740	30	0.995979274611399	1.9345492227979275
nprs44	100	8	6	0.5624099694534834	1479	173660	19	0.9830051813471503	16.831295336787566	121	151916	19	0.9830051813471503	1.8698445595854922
nprs44	100	8	7	0.5393730670545498	1251	183788	12	0.958259067357513	12.657450777202072	143	165648	12	0.958259067357513	1.6968290155440415
nprs44	100	8	8	0.5291619832483735	815	184732	6	0.9561450777202073	7.40940932642487	168	173820	6	0.9561450777202073	1.5877720207253887
nprs44	100	8	9	0.5202700498836588	527	185260	6	0.8983212435233161	4.694010362694301	163	179220	6	0.8983212435233161	1.4733264248704663
nprs44	100	8	10	0.5102270700749895	453	188192	7	0.8132642487046632	4.139357512953368	145	183028	7	0.8132642487046632	1.3175958549222797
nprs44	100	8	12	0.4948094621759962	230	189400	3	0.709139896373057	1.9623212435233162	137	187840	3	0.709139896373057	1.1696580310880829
nprs44	100	10	2	0.6787154439436514	971	92700	115	0.9995025906735752	26.486632124352333	37	78594	115	0.9995025906735752	3.764020725388601
nprs44	100	10	3	0.6231027897386003	1761	173566	34	0.9929948186528498	26.818113989637304	82	143534	34	0.9929948186528498	2.3236476683937823
nprs44	100	10	4	0.5992654124941696	1454	206836	17	0.9836269430051814	16.153284974093264	139	180868	17	0.9836269430051814	1.8865906735751294
nprs44	100	10	5	0.5463048019497606	1039	216304	18	0.9640621761658031	10.993243523316062	145	198554	18	0.9640621761658031	1.6775129533678756
nprs44	100	10	6	0.49790267536441624	977	227042	10	0.9453264248704664	10.062549222797928	144	210482	10	0.9453264248704664	1.6488704663212435
nprs44	100	10	7	0.47130997790965873	626	231892	7	0.8983626943005182	5.675979274611399	160	222268	7	0.8983626943005182	1.5238549222797928
nprs44	100	10	8	0.45908128963200856	257	232650	5	0.7389015544041451	2.2146321243523315	142	230210	5	0.7389015544041451	1.2368497409326424
