dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
TEK16	re-pair	50	6	4	0.8514500709710832	328	18000	116	0.9996	14.0844	35	14834	116	0.9996	2.8964	3
TEK16	sequitur	50	6	4	0.8514500709710832	312	18420	91	0.9996	12.2516	41	15114	91	0.9996	2.6162	7
TEK16	re-pair	50	6	8	0.7384476404045046	291	23320	116	0.8714	11.7526	43	20662	116	0.8714	2.6276	3
TEK16	sequitur	50	6	8	0.7384476404045046	267	23468	91	0.8628	10.1644	46	20756	91	0.8628	2.358	10
TEK16	re-pair	50	12	4	0.8147880540639224	195	49128	18	0.6204	6.4146	39	46160	7	0.6204	1.2344	3
TEK16	sequitur	50	12	4	0.8147880540639224	150	48800	11	0.6102	4.6648	38	46092	11	0.6102	1.4386	13
TEK16	re-pair	50	12	8	0.7013506373850424	139	55340	9	0.5504	3.4692	45	53380	4	0.5504	1.0086	3
TEK16	sequitur	50	12	8	0.7013506373850424	116	55076	7	0.549	2.7392	46	53324	7	0.549	1.0858	11
TEK16	re-pair	150	6	4	0.7501013026311516	210	10340	157	0.998	31.882	14	8324	70	0.998	3.7324	2
TEK16	sequitur	150	6	4	0.7501013026311516	181	10822	100	0.9722	25.7994	16	8830	61	0.9722	3.2432	4
TEK16	re-pair	150	6	8	0.6283117155642941	283	14744	157	0.9954	36.4214	15	11956	70	0.9954	3.5766	2
TEK16	sequitur	150	6	8	0.6283117155642941	209	14896	100	0.9936	26.8152	16	12372	61	0.9936	3.1878	6
TEK16	re-pair	150	12	4	0.7078185663904475	195	32028	11	0.8976	17.577	16	28660	5	0.8976	1.4884	2
TEK16	sequitur	150	12	4	0.7078185663904475	133	31676	11	0.8944	10.91	16	28504	5	0.8944	1.5426	6
TEK16	re-pair	150	12	8	0.5879677081077294	270	44572	11	0.8464	21.9826	17	39836	5	0.8464	1.4972	3
TEK16	sequitur	150	12	8	0.5879677081077294	167	44636	11	0.8248	12.5768	17	39916	5	0.8248	1.317	8
TEK16	re-pair	250	6	4	0.6616733355753811	135	6542	12	0.983	22.3334	8	5190	12	0.983	1.988	1
TEK16	sequitur	250	6	4	0.6616733355753811	109	6634	12	0.995	15.7658	9	5258	12	0.995	1.9904	3
TEK16	re-pair	250	6	8	0.5398215111171143	199	9536	12	0.9834	29.6384	9	7510	10	0.9834	1.8388	2
TEK16	sequitur	250	6	8	0.5398215111171143	139	9384	10	0.9848	18.9386	10	7510	10	0.9848	1.6104	3
TEK16	re-pair	250	12	4	0.609626432416926	149	19756	9	0.9402	23.8786	9	17204	9	0.9402	1.7876	2
TEK16	sequitur	250	12	4	0.609626432416926	91	19988	6	0.9418	12.3148	9	17540	4	0.9418	1.2248	4
TEK16	re-pair	250	12	8	0.4901636768989474	235	30576	6	0.9076	32.7004	12	26472	4	0.9076	1.5944	2
TEK16	sequitur	250	12	8	0.4901636768989474	125	29936	6	0.9122	15.772	13	26372	5	0.9122	1.7914	5
