dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
ann_gun_CentroidA1	re-pair	50	6	4	0.4480052343532176	413	26222	83	1.0	12.620744822682429	80	22824	83	1.0	1.8017953959648032	65
ann_gun_CentroidA1	sequitur	50	6	4	0.4480052343532176	439	26916	81	1.0	11.402453115278641	97	22910	81	1.0	1.8362812194471603	94
ann_gun_CentroidA1	re-pair	50	6	8	0.3242415829961938	614	45060	71	0.9975113323260155	14.276864278730779	77	39478	71	0.9975113323260155	1.8745889254288508	38
ann_gun_CentroidA1	sequitur	50	6	8	0.3242415829961938	658	46116	54	0.9981334992445116	12.559505821704738	72	39270	54	0.9981334992445116	2.3158830326193227	34
ann_gun_CentroidA1	re-pair	50	12	4	0.37250404461992564	559	83036	59	0.9904897342458449	11.974757799306728	79	74508	59	0.9904897342458449	2.25313305483957	27
ann_gun_CentroidA1	sequitur	50	12	4	0.37250404461992564	562	83516	50	0.9929784019198293	10.804195182650432	80	73488	50	0.9929784019198293	2.501199893342814	30
ann_gun_CentroidA1	re-pair	50	12	8	0.24746813476905305	596	115492	42	0.8912985512398898	11.241489645364856	104	106556	40	0.8912985512398898	2.2525108879210736	34
ann_gun_CentroidA1	sequitur	50	12	8	0.24746813476905305	578	117060	39	0.8893431694960447	9.519420495955915	100	106624	39	0.8893431694960447	2.30708381477202	44
ann_gun_CentroidA1	re-pair	150	6	4	0.5626535017528708	301	15848	30	0.9981334992445116	21.848902319793797	16	12986	30	0.9981334992445116	2.0092436227890853	7
ann_gun_CentroidA1	sequitur	150	6	4	0.5626535017528708	285	16744	29	0.9992000711047907	16.89103190827482	17	13246	29	0.9992000711047907	2.0079104079637364	11
ann_gun_CentroidA1	re-pair	150	6	8	0.3925948617014954	531	30806	32	0.9786685627944183	35.827482001599854	19	25544	32	0.9786685627944183	2.1328770775931027	12
ann_gun_CentroidA1	sequitur	150	6	8	0.3925948617014954	508	31780	32	0.9933339258732558	26.865345302639767	25	25598	32	0.9933339258732558	2.170562616656297	17
ann_gun_CentroidA1	re-pair	150	12	4	0.46577954134927924	490	60420	17	0.9551151008799218	24.328504132965957	30	52044	17	0.9551151008799218	1.969158297040263	12
ann_gun_CentroidA1	sequitur	150	12	4	0.46577954134927924	466	62372	10	0.9604479601813172	19.159185850146653	38	52260	10	0.9604479601813172	1.8239267620655941	24
ann_gun_CentroidA1	re-pair	150	12	8	0.2774599512426381	763	104360	9	0.917962847746867	28.84952448671229	41	90192	9	0.917962847746867	1.5796818060616835	26
ann_gun_CentroidA1	sequitur	150	12	8	0.2774599512426381	661	105464	7	0.9181406097235801	22.693360590169764	43	90008	7	0.9181406097235801	1.5607501555417296	52
ann_gun_CentroidA1	re-pair	250	6	4	0.6589653765333876	221	14346	65	0.9851568749444494	31.78259710247978	7	12190	65	0.9851568749444494	2.524220069327171	4
ann_gun_CentroidA1	sequitur	250	6	4	0.6589653765333876	245	14142	35	0.9866678517465114	26.500133321482537	12	11538	32	0.9866678517465114	2.4278730779486266	8
ann_gun_CentroidA1	re-pair	250	6	8	0.5336694380671717	460	28996	37	0.9568927206470536	49.49391165229758	12	24344	30	0.9568927206470536	2.3512576659852455	11
ann_gun_CentroidA1	sequitur	250	6	8	0.5336694380671717	477	29722	37	0.9605368411696739	42.53479690694161	15	24302	37	0.9605368411696739	2.2809528041951825	16
ann_gun_CentroidA1	re-pair	250	12	4	0.5143969284892784	375	54576	52	0.9599146742511777	32.53577459781353	14	47760	52	0.9599146742511777	2.074837792196249	8
ann_gun_CentroidA1	sequitur	250	12	4	0.5143969284892784	370	55536	18	0.9632921518087281	27.579859568038398	19	47604	18	0.9632921518087281	2.1277219802684204	17
ann_gun_CentroidA1	re-pair	250	12	8	0.34483737472157305	465	92704	21	0.8474802239800907	29.422984623589013	19	83712	16	0.8474802239800907	1.6149675584392498	15
ann_gun_CentroidA1	sequitur	250	12	8	0.34483737472157305	427	93528	14	0.870411518976091	24.835392409563596	21	83648	14	0.870411518976091	1.8244600479957338	41
