dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
chfdbchf15	re-pair	50	6	4	0.5199719239127554	693	47304	117	0.9982	19.502933333333335	44	40836	117	0.9982	1.8664	15
chfdbchf15	sequitur	50	6	4	0.5199719239127554	779	47200	96	0.9982666666666666	17.31126666666667	34	39026	96	0.9982666666666666	2.7769333333333335	25
chfdbchf15	re-pair	50	6	8	0.39689662757895056	1185	78682	96	0.9897333333333334	23.696	53	67030	96	0.9897333333333334	2.2628	28
chfdbchf15	sequitur	50	6	8	0.39689662757895056	1257	80168	77	0.9871333333333333	20.113933333333332	61	66382	72	0.9871333333333333	2.4406	61
chfdbchf15	re-pair	50	12	4	0.4336469303420797	1018	144620	90	0.9762	19.776266666666668	54	127796	90	0.9762	1.9968	26
chfdbchf15	sequitur	50	12	4	0.4336469303420797	1069	147356	74	0.9772666666666666	17.0594	57	126932	74	0.9772666666666666	2.2374	71
chfdbchf15	re-pair	50	12	8	0.3046921321118987	1002	181128	87	0.9344666666666667	14.791733333333333	97	164328	87	0.9344666666666667	1.6726	22
chfdbchf15	sequitur	50	12	8	0.3046921321118987	1001	182388	87	0.9338666666666666	12.600466666666666	103	163044	87	0.9338666666666666	1.9606666666666666	84
chfdbchf15	re-pair	150	6	4	0.5790412673281882	239	18016	71	0.9999333333333333	25.721266666666665	11	15830	71	0.9999333333333333	2.2488	5
chfdbchf15	sequitur	150	6	4	0.5790412673281882	279	18988	58	1.0	19.167533333333335	37	16270	45	1.0	1.7915333333333334	9
chfdbchf15	re-pair	150	6	8	0.48940875625812374	667	37216	44	0.9988666666666667	36.13386666666667	19	30692	38	0.9988666666666667	1.8909333333333334	10
chfdbchf15	sequitur	150	6	8	0.48940875625812374	653	38210	31	0.9998666666666667	28.817333333333334	22	30494	31	0.9998666666666667	2.5441333333333334	19
chfdbchf15	re-pair	150	12	4	0.5144293587286128	804	95804	47	0.9941333333333333	44.5298	15	82532	47	0.9941333333333333	2.3686	14
chfdbchf15	sequitur	150	12	4	0.5144293587286128	833	98872	42	0.9944	37.190666666666665	19	82196	41	0.9944	2.3264	36
chfdbchf15	re-pair	150	12	8	0.39884347402399895	1376	165316	28	0.9877333333333334	50.40213333333333	34	140316	28	0.9877333333333334	1.9727333333333332	26
chfdbchf15	sequitur	150	12	8	0.39884347402399895	1281	168700	28	0.9878	40.6322	33	140140	28	0.9878	2.071066666666667	82
chfdbchf15	re-pair	250	6	4	0.6610510331275011	259	15176	53	0.9993333333333333	29.615666666666666	13	12750	53	0.9993333333333333	2.3752	7
chfdbchf15	sequitur	250	6	4	0.6610510331275011	270	15988	33	1.0	23.720266666666667	29	13182	33	1.0	1.9692	8
chfdbchf15	re-pair	250	6	8	0.5642379752454817	573	30030	33	0.9998666666666667	41.78726666666667	15	24256	33	0.9998666666666667	2.2173333333333334	9
chfdbchf15	sequitur	250	6	8	0.5642379752454817	512	31020	24	1.0	31.302866666666667	35	24954	24	1.0	1.8186	15
chfdbchf15	re-pair	250	12	4	0.564588283130634	746	84480	36	0.9926666666666667	50.76906666666667	16	71224	36	0.9926666666666667	2.293066666666667	10
chfdbchf15	sequitur	250	12	4	0.564588283130634	734	86508	36	0.9930666666666667	42.083666666666666	22	70796	36	0.9930666666666667	2.3608666666666664	39
chfdbchf15	re-pair	250	12	8	0.4563048474337265	915	138880	17	0.9799333333333333	41.84206666666667	29	121152	17	0.9799333333333333	1.8656	13
chfdbchf15	sequitur	250	12	8	0.4563048474337265	766	140036	13	0.9839333333333333	32.50046666666667	34	121256	13	0.9839333333333333	1.9401333333333333	76
