dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
dutch_power_demand	re-pair	50	6	4	0.5547214501049607	1348	96330	248	1.0	12.609931506849316	306	85228	219	1.0	1.898744292237443	31
dutch_power_demand	sequitur	50	6	4	0.5547214501049607	1548	97724	175	0.9997431506849315	12.0462899543379	154	82300	175	0.9997431506849315	2.6803367579908675	127
dutch_power_demand	re-pair	50	6	8	0.44025549387557894	1381	149242	215	0.9018550228310502	13.303110730593607	200	137164	192	0.9018550228310502	2.330707762557078	41
dutch_power_demand	sequitur	50	6	8	0.44025549387557894	1591	153142	116	0.902796803652968	12.764412100456621	184	137984	116	0.902796803652968	2.2735730593607304	335
dutch_power_demand	re-pair	50	12	4	0.4763862726010815	1167	305224	183	0.7781678082191781	9.56466894977169	149	286552	180	0.7781678082191781	1.893892694063927	92
dutch_power_demand	sequitur	50	12	4	0.4763862726010815	1311	309528	100	0.785958904109589	9.145633561643836	158	286596	100	0.785958904109589	2.1037956621004565	297
dutch_power_demand	re-pair	50	12	8	0.36055111276178176	1118	385456	111	0.7045662100456621	6.97351598173516	193	367056	111	0.7045662100456621	1.6420091324200914	34
dutch_power_demand	sequitur	50	12	8	0.36055111276178176	1247	387168	79	0.7080479452054794	6.909189497716895	210	365648	79	0.7080479452054794	1.7446917808219178	347
dutch_power_demand	re-pair	150	6	4	0.6150331930274163	769	57698	162	0.9987728310502283	29.564583333333335	29	50216	95	0.9987728310502283	2.559332191780822	14
dutch_power_demand	sequitur	150	6	4	0.6150331930274163	916	61604	124	0.999857305936073	26.562899543378997	27	52032	124	0.999857305936073	2.828367579908676	38
dutch_power_demand	re-pair	150	6	8	0.4953454754494353	1495	110416	133	0.999115296803653	40.14945776255708	35	95596	133	0.999115296803653	2.1495148401826483	35
dutch_power_demand	sequitur	150	6	8	0.4953454754494353	1673	113416	111	0.9998858447488584	35.860245433789956	39	94986	111	0.9998858447488584	2.5516552511415527	121
dutch_power_demand	re-pair	150	12	4	0.5015075053027831	1387	236568	112	0.9864440639269406	32.37237442922375	36	212496	112	0.9864440639269406	1.8913812785388129	34
dutch_power_demand	sequitur	150	12	4	0.5015075053027831	1527	238092	81	0.98787100456621	29.963099315068494	45	208732	81	0.98787100456621	2.6408390410958904	206
dutch_power_demand	re-pair	150	12	8	0.37806202809384676	1827	356768	59	0.9732876712328767	25.516409817351597	92	321568	59	0.9732876712328767	2.450656392694064	41
dutch_power_demand	sequitur	150	12	8	0.37806202809384676	1779	361416	48	0.9738299086757991	22.492808219178084	93	321988	48	0.9738299086757991	2.0487157534246574	359
dutch_power_demand	re-pair	250	6	4	0.693220688521138	658	46680	104	1.0	36.75910388127854	49	40626	104	1.0	1.9529965753424658	11
dutch_power_demand	sequitur	250	6	4	0.693220688521138	751	47402	104	0.9999714611872146	31.17933789954338	15	39180	104	0.9999714611872146	2.377511415525114	22
dutch_power_demand	re-pair	250	6	8	0.5751972566908422	1447	89218	77	0.9996004566210046	56.33050799086758	20	74634	77	0.9996004566210046	2.554052511415525	29
dutch_power_demand	sequitur	250	6	8	0.5751972566908422	1490	91040	54	0.9996860730593607	48.93130707762557	30	74204	54	0.9996860730593607	2.7673801369863016	74
dutch_power_demand	re-pair	250	12	4	0.5288798091639806	1390	186480	89	0.9982305936073059	53.47340182648402	18	162296	89	0.9982305936073059	2.4271689497716893	34
dutch_power_demand	sequitur	250	12	4	0.5288798091639806	1470	191280	50	0.9999714611872146	46.25051369863014	31	161844	50	0.9999714611872146	2.6597602739726027	119
dutch_power_demand	re-pair	250	12	8	0.3971499430843083	1967	311840	30	0.9975456621004566	46.1912100456621	52	273432	30	0.9975456621004566	2.2273116438356166	43
dutch_power_demand	sequitur	250	12	8	0.3971499430843083	1913	317012	29	0.9990011415525114	40.43892694063927	64	274580	29	0.9990011415525114	2.009560502283105	315
