dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
ecg0606	re-pair	50	6	4	0.47042303586291595	133	7532	16	1.0	21.190952588081775	14	6356	16	1.0	1.7459765115267507	3
ecg0606	sequitur	50	6	4	0.47042303586291595	118	7636	16	1.0	13.520661157024794	21	6386	14	1.0	2.006959547629404	4
ecg0606	re-pair	50	6	8	0.3760820644188827	251	12884	15	0.9943453675511091	22.278816876903	14	10414	14	0.9943453675511091	1.5911265767725098	2
ecg0606	sequitur	50	6	8	0.3760820644188827	220	13122	12	1.0	16.29273597216181	27	10660	12	1.0	1.6989995650282732	4
ecg0606	re-pair	50	12	4	0.37523272342216346	211	23084	14	0.9939103958242714	20.671596346237493	14	19612	14	0.9939103958242714	1.595911265767725	2
ecg0606	sequitur	50	12	4	0.37523272342216346	189	23120	13	0.9960852544584602	15.354936929099608	15	19060	13	0.9960852544584602	2.068290561113528	5
ecg0606	re-pair	50	12	8	0.2731817457858913	201	28212	11	0.9264897781644194	13.023923444976077	24	24844	11	0.9264897781644194	1.7007394519356243	2
ecg0606	sequitur	50	12	8	0.2731817457858913	167	28448	10	0.9399739016963897	10.046976946498477	22	24928	8	0.9399739016963897	1.5885167464114833	5
ecg0606	re-pair	150	6	4	0.6517646755169256	74	4468	14	0.9973901696389734	37.37625054371466	5	3764	12	0.9973901696389734	1.779469334493258	1
ecg0606	sequitur	150	6	4	0.6517646755169256	67	4914	11	0.9956502827316225	18.423227490213137	5	4006	11	0.9956502827316225	1.5567638103523271	4
ecg0606	re-pair	150	6	8	0.5625048985580413	123	7128	14	0.9995650282731623	34.59025663331884	4	5890	14	0.9995650282731623	1.2762070465419748	1
ecg0606	sequitur	150	6	8	0.5625048985580413	94	7126	14	1.0	22.02696824706394	4	5898	14	1.0	1.2200956937799043	4
ecg0606	re-pair	150	12	4	0.5284157962515711	147	16836	13	0.9995650282731623	33.4367116137451	5	14212	13	0.9995650282731623	1.4615050021748586	1
ecg0606	sequitur	150	12	4	0.5284157962515711	140	17216	13	0.9995650282731623	28.678990865593736	4	14248	13	0.9995650282731623	1.2696824706394085	4
ecg0606	re-pair	150	12	8	0.43260741245238676	127	24516	5	0.994780339277947	18.610700304480208	10	22036	5	0.994780339277947	1.450195737277077	2
ecg0606	sequitur	150	12	8	0.43260741245238676	100	24472	4	0.9943453675511091	14.414093083949544	10	22020	4	0.9943453675511091	1.517616354936929	8
ecg0606	re-pair	250	6	4	0.7519706526212522	43	2520	13	0.994780339277947	26.132231404958677	3	2112	13	0.994780339277947	2.0221835580687255	0
ecg0606	sequitur	250	6	4	0.7519706526212522	45	2472	13	0.996520226185298	22.007394519356243	4	1996	13	0.996520226185298	2.103088299260548	2
ecg0606	re-pair	250	6	8	0.649051804617599	86	4594	10	0.9943453675511091	35.85863418877773	5	3746	9	0.9943453675511091	2.0047846889952154	1
ecg0606	sequitur	250	6	8	0.649051804617599	75	4754	9	0.9991300565463245	25.214006089604176	6	3822	7	0.9991300565463245	1.6972596781209222	3
ecg0606	re-pair	250	12	4	0.604116974527718	114	14956	8	1.0	35.44193127446716	7	12900	8	1.0	2.6341887777294475	1
ecg0606	sequitur	250	12	4	0.604116974527718	92	15072	8	0.9934754240974336	26.927359721618096	5	12892	8	0.9934754240974336	2.5628534145280555	4
ecg0606	re-pair	250	12	8	0.5280780327564112	54	20452	3	0.9299695519791213	12.472379295345803	7	19412	3	0.9299695519791213	1.5306655067420618	2
ecg0606	sequitur	250	12	8	0.5280780327564112	46	20440	3	0.9299695519791213	10.414528055676382	7	19432	3	0.9299695519791213	1.4262722923010005	4
