dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
gps_track	re-pair	50	6	4	51.77850630722252	682	39406	157	0.9972634643377002	14.851237263464338	76	33374	88	0.9972634643377002	1.987772925764192	11
gps_track	sequitur	50	6	4	51.77850630722252	661	39880	80	0.999475982532751	12.212343522561863	54	32708	80	0.999475982532751	2.518136826783115	21
gps_track	re-pair	50	6	8	51.67497263435674	1136	72008	115	0.9916157205240175	20.456244541484715	79	61264	115	0.9916157205240175	2.3033478893740904	23
gps_track	sequitur	50	6	8	51.67497263435674	921	71234	103	0.991848617176128	15.24372634643377	75	59926	103	0.991848617176128	2.9443377001455606	60
gps_track	re-pair	50	12	4	51.70187531862951	1045	136896	146	0.9888791848617177	20.054264919941776	66	120136	146	0.9888791848617177	2.5648326055312953	19
gps_track	sequitur	50	12	4	51.70187531862951	856	132120	125	0.988646288209607	14.248850072780204	78	114168	125	0.988646288209607	2.581018922852984	59
gps_track	re-pair	50	12	8	51.594514026416604	1249	188672	110	0.969315866084425	20.222707423580786	121	168992	110	0.969315866084425	2.641339155749636	21
gps_track	sequitur	50	12	8	51.594514026416604	920	189364	64	0.9740902474526929	12.962503639010189	133	169088	64	0.9740902474526929	2.4885589519650657	75
gps_track	re-pair	150	6	4	0.4397865845708798	362	18492	53	0.9993013100436681	18.302241630276566	27	15098	53	0.9993013100436681	2.2097234352256185	4
gps_track	sequitur	150	6	4	0.4397865845708798	292	18980	45	1.0	12.791149927219797	49	15632	45	1.0	1.9351965065502184	8
gps_track	re-pair	150	6	8	0.3327579489741137	636	36044	45	0.9929548762736535	27.262474526928674	33	29876	45	0.9929548762736535	2.05018922852984	8
gps_track	sequitur	150	6	8	0.3327579489741137	427	35470	42	0.9930713245997089	16.356739446870453	31	29444	42	0.9930713245997089	2.1236098981077145	16
gps_track	re-pair	150	12	4	0.36233595697808985	592	70244	51	0.9973216885007278	26.270684133915577	32	60628	51	0.9973216885007278	2.3422416302765647	7
gps_track	sequitur	150	12	4	0.36233595697808985	391	68156	28	0.9988355167394468	14.727103347889374	34	58248	28	0.9988355167394468	2.616069868995633	16
gps_track	re-pair	150	12	8	0.25028172335792187	856	128008	44	0.9803202328966522	35.32395924308588	46	113816	44	0.9803202328966522	2.087802037845706	12
gps_track	sequitur	150	12	8	0.25028172335792187	523	124492	37	0.978981077147016	16.91109170305677	50	110220	26	0.978981077147016	2.2673071324599707	32
gps_track	re-pair	250	6	4	0.4501650824800764	309	13580	28	0.9997088791848617	19.784454148471617	18	10618	28	0.9997088791848617	1.8521688500727802	3
gps_track	sequitur	250	6	4	0.4501650824800764	203	13576	23	1.0	11.896768558951965	32	10914	23	1.0	1.763377001455604	5
gps_track	re-pair	250	6	8	0.3470987669793735	560	26742	21	0.9997088791848617	28.93315866084425	27	21200	21	0.9997088791848617	1.9106259097525473	5
gps_track	sequitur	250	6	8	0.3470987669793735	331	26512	16	1.0	15.186142649199418	41	21580	16	1.0	1.7804366812227075	10
gps_track	re-pair	250	12	4	0.36184797262029084	541	53392	23	0.990160116448326	27.46218340611354	29	44448	23	0.990160116448326	1.9744395924308589	4
gps_track	sequitur	250	12	4	0.36184797262029084	279	52732	21	0.994061135371179	12.982474526928675	32	44548	21	0.994061135371179	2.042212518195051	11
gps_track	re-pair	250	12	8	0.25751050743100257	787	98148	19	0.9771761280931587	34.143813682678314	35	84708	19	0.9771761280931587	2.046404657933042	8
gps_track	sequitur	250	12	8	0.25751050743100257	407	96892	12	0.9785152838427947	16.39359534206696	43	84804	12	0.9785152838427947	1.8281222707423581	22
