dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
insect	re-pair	50	6	4	0.7277478744201715	951	63440	124	0.9991964429206621	13.286494884019929	141	54790	102	0.9991964429206621	2.0432313708683774	22
insect	sequitur	50	6	4	0.7277478744201715	1074	66068	70	1.0	13.078052177639686	227	56578	46	1.0	1.8652702630310174	59
insect	re-pair	50	6	8	0.6233976003437566	998	92420	81	0.9869288048427707	8.981946750950875	221	83718	81	0.9869288048427707	1.7707719505008839	19
insect	sequitur	50	6	8	0.6233976003437566	1051	92682	43	0.9918572882627096	8.676220067498795	199	82612	43	0.9918572882627096	2.151497294691166	180
insect	re-pair	50	12	4	0.6887820025084006	461	187840	106	0.755290084105641	4.665666684523491	197	182632	106	0.755290084105641	1.7403439224299566	13
insect	sequitur	50	12	4	0.6887820025084006	482	189512	53	0.7604864198853591	4.5028660202496384	191	183436	53	0.7604864198853591	1.6812021213906894	164
insect	re-pair	50	12	8	0.5844026764072805	193	211080	33	0.41152836556490063	1.733004767772004	120	209624	33	0.41152836556490063	1.1488723415653292	17
insect	sequitur	50	12	8	0.5844026764072805	207	212000	21	0.41463545293834037	1.6717737183264585	126	210260	21	0.41463545293834037	1.0440349279477152	143
insect	re-pair	150	6	4	0.702660530142529	584	34296	32	0.9980714630095892	18.259763218513957	45	28492	32	0.9980714630095892	1.9865002410671238	10
insect	sequitur	150	6	4	0.702660530142529	632	35524	25	1.0	17.12117640756415	84	29012	25	1.0	1.944554561525687	19
insect	re-pair	150	6	8	0.6039819961879951	736	59266	14	0.9756790057320405	16.09503401724969	80	51940	14	0.9756790057320405	1.7734504740986767	11
insect	sequitur	150	6	8	0.6039819961879951	715	59670	10	0.9825895966143462	14.715701505330262	76	51840	10	0.9825895966143462	1.801253549043767	70
insect	re-pair	150	12	4	0.6397332504620741	485	133700	12	0.9334654738308245	9.858413242620667	85	125004	12	0.9334654738308245	1.6880055713290834	8
insect	sequitur	150	12	4	0.6397332504620741	484	134396	8	0.9366261316762201	9.379493223335297	91	125032	7	0.9366261316762201	1.7396475062945305	82
insect	re-pair	150	12	8	0.5389556949440736	52	186544	3	0.40579632506562385	0.8354850806235603	44	186360	3	0.40579632506562385	0.7056838270745165	14
insect	sequitur	150	12	8	0.5389556949440736	48	186508	3	0.40590346600953553	0.7721112122997804	43	186376	3	0.40590346600953553	0.6906305244549205	108
insect	re-pair	250	6	4	0.7557743316381542	428	24962	13	0.9970536240424278	17.831467295226872	40	20696	13	0.9970536240424278	1.8515026517383617	6
insect	sequitur	250	6	4	0.7557743316381542	426	25526	10	0.9971607649863395	16.2405314190818	42	20812	10	0.9971607649863395	1.7521294262602454	16
insect	re-pair	250	6	8	0.6544468451037121	421	41850	6	0.9405367761289977	12.965822038892163	52	37664	6	0.9405367761289977	1.618096105426689	9
insect	sequitur	250	6	8	0.6544468451037121	355	41668	6	0.9414474741522473	10.742701023196014	51	37700	6	0.9414474741522473	1.6020249638399315	48
insect	re-pair	250	12	4	0.6718097473082874	239	99648	5	0.8609846252745487	6.780682487812718	60	95656	4	0.8609846252745487	1.6754165104194567	12
insect	sequitur	250	12	4	0.6718097473082874	216	99492	5	0.8628060213210479	6.190710880162854	59	95584	4	0.8628060213210479	1.6862913162264959	61
insect	re-pair	250	12	8	0.5652184435412968	28	153780	2	0.2998875020088927	0.7271120158568597	22	153636	2	0.2998875020088927	0.5657041838538598	9
insect	sequitur	250	12	8	0.5652184435412968	28	153780	2	0.30015535436867197	0.7280762843520652	22	153636	2	0.30015535436867197	0.5664541704612418	90
