dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
mitdbx_108	re-pair	50	6	4	0.6140191516828069	955	65232	57	0.9985648148148148	12.026388888888889	171	56860	50	0.9985648148148148	1.8619444444444444	17
mitdbx_108	sequitur	50	6	4	0.6140191516828069	1079	66926	52	0.9986111111111111	11.37125	127	56158	48	0.9986111111111111	2.1926851851851854	57
mitdbx_108	re-pair	50	6	8	0.5042968047868353	1049	100064	42	0.926712962962963	10.097083333333334	197	90912	42	0.926712962962963	1.7750462962962963	24
mitdbx_108	sequitur	50	6	8	0.5042968047868353	1130	101746	32	0.9255555555555556	9.336064814814815	179	90614	29	0.9255555555555556	1.84375	167
mitdbx_108	re-pair	50	12	4	0.5274265630701993	740	217132	38	0.7348148148148148	6.3126388888888885	183	206444	38	0.7348148148148148	1.4882407407407408	17
mitdbx_108	sequitur	50	12	4	0.5274265630701993	748	219156	28	0.7348148148148148	5.6812962962962965	177	206612	28	0.7348148148148148	1.4787037037037036	151
mitdbx_108	re-pair	50	12	8	0.4173510269851234	343	250428	13	0.3939814814814815	2.324537037037037	100	245476	13	0.3939814814814815	0.6878240740740741	19
mitdbx_108	sequitur	50	12	8	0.4173510269851234	324	250564	11	0.39564814814814814	2.053101851851852	101	245256	11	0.39564814814814814	0.6994444444444444	137
mitdbx_108	re-pair	150	6	4	0.6036096499630657	472	29590	45	0.9990277777777777	20.840555555555557	30	25060	44	0.9990277777777777	2.091898148148148	9
mitdbx_108	sequitur	150	6	4	0.6036096499630657	539	30778	44	0.9992129629629629	18.29078703703704	36	25058	44	0.9992129629629629	2.0733333333333333	11
mitdbx_108	re-pair	150	6	8	0.4869580933228286	860	56880	45	0.9896296296296296	25.58703703703704	48	48326	45	0.9896296296296296	1.937361111111111	15
mitdbx_108	sequitur	150	6	8	0.4869580933228286	858	57388	26	0.9889351851851852	21.417361111111113	62	47702	26	0.9889351851851852	2.312222222222222	36
mitdbx_108	re-pair	150	12	4	0.5301611154294732	713	121592	36	0.9515740740740741	18.883287037037036	61	109024	36	0.9515740740740741	1.7172222222222222	10
mitdbx_108	sequitur	150	12	4	0.5301611154294732	737	122964	24	0.955324074074074	17.095833333333335	66	108092	24	0.955324074074074	1.9300925925925927	43
mitdbx_108	re-pair	150	12	8	0.41181857424710566	594	191168	20	0.8189814814814815	11.48925925925926	72	180384	20	0.8189814814814815	1.4796296296296296	13
mitdbx_108	sequitur	150	12	8	0.41181857424710566	553	191920	17	0.8214814814814815	9.982962962962963	74	180412	13	0.8214814814814815	1.4848611111111112	75
mitdbx_108	re-pair	250	6	4	0.6446984892584863	387	22940	40	0.9977314814814815	24.27148148148148	20	19158	38	0.9977314814814815	2.027222222222222	4
mitdbx_108	sequitur	250	6	4	0.6446984892584863	417	23556	33	0.9980555555555556	20.321805555555557	26	18934	33	0.9980555555555556	2.00662037037037	8
mitdbx_108	re-pair	250	6	8	0.5287131420070137	634	42948	33	0.9720833333333333	31.001712962962962	32	36594	33	0.9720833333333333	2.01337962962963	8
mitdbx_108	sequitur	250	6	8	0.5287131420070137	625	43500	27	0.9722222222222222	25.79851851851852	29	36234	27	0.9722222222222222	2.510925925925926	24
mitdbx_108	re-pair	250	12	4	0.549383515769498	679	99276	28	0.9567592592592593	26.932546296296298	38	87132	28	0.9567592592592593	1.927175925925926	8
mitdbx_108	sequitur	250	12	4	0.549383515769498	629	100708	23	0.9583796296296296	22.273194444444446	44	87100	23	0.9583796296296296	2.1218981481481483	30
mitdbx_108	re-pair	250	12	8	0.4378555527027964	575	165788	10	0.8468518518518519	16.265462962962964	49	154740	10	0.8468518518518519	1.5086111111111111	11
mitdbx_108	sequitur	250	12	8	0.4378555527027964	500	165772	9	0.8478240740740741	13.701944444444445	50	154508	9	0.8478240740740741	1.6225462962962962	66
