dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
nprs44	re-pair	50	6	4	0.5570297680241664	1333	91396	242	0.9983834196891191	22.106943005181346	58	78908	242	0.9983834196891191	2.337865284974093	44
nprs44	sequitur	50	6	4	0.5570297680241664	1586	94786	162	0.999419689119171	21.087253886010362	54	78824	162	0.999419689119171	2.6665284974093266	76
nprs44	re-pair	50	6	8	0.41654188945750337	2435	147380	124	0.9969740932642487	24.428891191709845	113	122992	124	0.9969740932642487	2.1631088082901555	75
nprs44	sequitur	50	6	8	0.41654188945750337	2657	150798	80	0.9975958549222798	22.95473575129534	112	121990	80	0.9975958549222798	2.5070259067357514	209
nprs44	re-pair	50	12	4	0.4345365404491959	2237	280588	29	0.9963523316062176	15.528414507772021	217	239740	29	0.9963523316062176	1.836020725388601	49
nprs44	sequitur	50	12	4	0.4345365404491959	2306	286608	22	0.9966424870466322	14.49757512953368	217	239000	22	0.9966424870466322	1.9399378238341969	326
nprs44	re-pair	50	12	8	0.2847215579158686	902	293460	6	0.9002279792746114	4.292103626943005	307	280356	6	0.9002279792746114	1.4567461139896374	56
nprs44	sequitur	50	12	8	0.2847215579158686	820	293248	6	0.895419689119171	3.7981347150259066	305	280372	6	0.895419689119171	1.4504870466321242	329
nprs44	re-pair	150	6	4	0.8695327125114694	1057	66566	61	0.9990880829015544	28.8519378238342	51	55798	61	0.9990880829015544	2.314901554404145	17
nprs44	sequitur	150	6	4	0.8695327125114694	1189	68792	40	0.9997927461139896	28.111253886010363	58	55906	40	0.9997927461139896	2.2318756476683936	60
nprs44	re-pair	150	6	8	0.7644400935763428	1182	105486	11	0.9927046632124352	18.925720207253885	94	93016	11	0.9927046632124352	1.6106943005181347	13
nprs44	sequitur	150	6	8	0.7644400935763428	1146	106062	10	0.9927875647668394	17.361699481865283	101	93038	10	0.9927875647668394	1.6741554404145078	324
nprs44	re-pair	150	12	4	0.6581201171173245	422	238680	7	0.8929740932642487	5.809782383419689	113	231528	7	0.8929740932642487	1.5250155440414508	12
nprs44	sequitur	150	12	4	0.6581201171173245	415	238944	5	0.8941347150259067	5.58018652849741	114	231588	5	0.8941347150259067	1.5266735751295337	348
nprs44	re-pair	150	12	8	0.523395987862382	5	279068	2	0.05007253886010363	0.05007253886010363	5	279068	2	0.05007253886010363	0.05007253886010363	14
nprs44	sequitur	150	12	8	0.523395987862382	5	279068	2	0.05007253886010363	0.05007253886010363	5	279068	2	0.05007253886010363	0.05007253886010363	278
nprs44	re-pair	250	6	4	0.9494773704157435	319	19740	44	0.9990466321243523	15.667523316062177	29	16620	44	0.9990466321243523	2.1197927461139896	5
nprs44	sequitur	250	6	4	0.9494773704157435	366	19956	24	0.9996683937823834	15.511461139896372	35	16258	24	0.9996683937823834	2.6374715025906736	9
nprs44	re-pair	250	6	8	0.8607324701249862	471	36640	17	0.995979274611399	13.728497409326424	58	31910	17	0.995979274611399	1.8273160621761657	4
nprs44	sequitur	250	6	8	0.8607324701249862	505	37416	10	0.9963523316062176	13.637430051813471	60	32054	10	0.9963523316062176	1.7155233160621761	38
nprs44	re-pair	250	12	4	0.8061542659283996	117	204448	3	0.685181347150259	2.4831502590673575	56	203056	3	0.685181347150259	1.1688704663212435	11
nprs44	sequitur	250	12	4	0.8061542659283996	105	204228	3	0.6875854922279793	2.2065906735751297	58	203024	3	0.6875854922279793	1.2134300518134715	281
nprs44	re-pair	250	12	8	0.6875071061810997	4	257688	2	0.045678756476683936	0.06250777202072538	4	257688	2	0.045678756476683936	0.06250777202072538	16
nprs44	sequitur	250	12	8	0.6875071061810997	4	257688	2	0.045678756476683936	0.06250777202072538	4	257688	2	0.045678756476683936	0.06250777202072538	368
