dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
stdb_308	re-pair	50	6	4	0.658548374054591	248	19430	17	0.997037037037037	9.057407407407407	57	17368	17	0.997037037037037	1.676111111111111	3
stdb_308	sequitur	50	6	4	0.658548374054591	232	19132	17	0.9979629629629629	7.506666666666667	59	17022	17	0.9979629629629629	2.0081481481481482	10
stdb_308	re-pair	50	6	8	0.5594734905251927	195	27164	13	0.5646296296296296	6.123333333333333	35	25444	13	0.5646296296296296	1.0018518518518518	2
stdb_308	sequitur	50	6	8	0.5594734905251927	187	27328	12	0.5681481481481482	5.042592592592593	38	25468	12	0.5681481481481482	0.9744444444444444	17
stdb_308	re-pair	50	12	4	0.5335176832776507	136	55232	14	0.48277777777777775	4.523333333333333	30	53328	14	0.48277777777777775	1.0462962962962963	3
stdb_308	sequitur	50	12	4	0.5335176832776507	128	55588	13	0.49925925925925924	3.7483333333333335	31	53372	13	0.49925925925925924	0.975925925925926	13
stdb_308	re-pair	50	12	8	0.4317903479480015	70	62284	9	0.3675925925925926	1.775925925925926	28	61396	4	0.3675925925925926	0.5927777777777777	2
stdb_308	sequitur	50	12	8	0.4317903479480015	72	62428	8	0.37333333333333335	1.6457407407407407	29	61432	3	0.37333333333333335	0.6135185185185185	13
stdb_308	re-pair	150	6	4	0.6718426098698373	143	8556	15	0.9974074074074074	22.130370370370372	8	7122	15	0.9974074074074074	2.0637037037037036	1
stdb_308	sequitur	150	6	4	0.6718426098698373	131	8800	14	1.0	13.188148148148148	21	7242	14	1.0	1.8083333333333333	4
stdb_308	re-pair	150	6	8	0.5787207375363403	228	16910	14	0.9783333333333334	26.217407407407407	12	14626	14	0.9783333333333334	1.760925925925926	3
stdb_308	sequitur	150	6	8	0.5787207375363403	203	17194	11	1.0	18.098703703703702	25	14842	11	1.0	1.9677777777777778	8
stdb_308	re-pair	150	12	4	0.6022583533515784	164	35976	14	0.965925925925926	20.188333333333333	15	33288	14	0.965925925925926	2.2994444444444446	2
stdb_308	sequitur	150	12	4	0.6022583533515784	146	35824	13	0.9894444444444445	13.673518518518518	17	32804	7	0.9894444444444445	1.9638888888888888	7
stdb_308	re-pair	150	12	8	0.48849155671806094	191	53504	12	0.897962962962963	14.893333333333333	22	50104	12	0.897962962962963	2.0816666666666666	3
stdb_308	sequitur	150	12	8	0.48849155671806094	165	53720	9	0.9009259259259259	12.130740740740741	23	50236	9	0.9009259259259259	1.8727777777777779	8
stdb_308	re-pair	250	6	4	0.6426148823556079	102	5358	13	0.9961111111111111	30.035925925925927	5	4372	13	0.9961111111111111	1.8207407407407408	1
stdb_308	sequitur	250	6	4	0.6426148823556079	74	5430	12	1.0	13.930185185185184	13	4356	12	1.0	2.244074074074074	3
stdb_308	re-pair	250	6	8	0.5518710828268687	194	10762	13	0.9988888888888889	43.53425925925926	6	8840	13	0.9988888888888889	2.410925925925926	2
stdb_308	sequitur	250	6	8	0.5518710828268687	166	11174	13	0.9996296296296296	25.705185185185186	8	8904	13	0.9996296296296296	2.377037037037037	4
stdb_308	re-pair	250	12	4	0.5700810215441667	176	23048	13	0.9966666666666667	35.47796296296296	6	20032	12	0.9966666666666667	1.5055555555555555	2
stdb_308	sequitur	250	12	4	0.5700810215441667	148	23208	11	1.0	23.70740740740741	15	19996	11	1.0	1.8516666666666666	5
stdb_308	re-pair	250	12	8	0.4480321425883278	274	41640	10	0.9948148148148148	40.07222222222222	8	36640	10	0.9948148148148148	1.596111111111111	3
stdb_308	sequitur	250	12	8	0.4480321425883278	237	42332	8	0.9948148148148148	29.059814814814814	12	36620	7	0.9948148148148148	1.4672222222222222	8
