dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
winding_col	re-pair	50	6	4	0.5712114647519551	337	12222	9	1.0	19.4796	26	8998	9	1.0	1.4608	2
winding_col	sequitur	50	6	4	0.5712114647519551	165	11534	9	1.0	9.6	27	8964	9	1.0	1.51	5
winding_col	re-pair	50	6	8	0.46219930388495034	381	16514	6	0.996	18.5648	29	12734	6	0.996	1.4352	3
winding_col	sequitur	50	6	8	0.46219930388495034	189	15488	5	0.9972	8.9988	28	12690	5	0.9972	1.5248	6
winding_col	re-pair	50	12	4	0.4365465289738856	333	30708	5	0.9836	15.3848	30	25044	5	0.9836	1.4468	3
winding_col	sequitur	50	12	4	0.4365465289738856	147	29628	5	0.986	6.7136	31	25128	4	0.986	1.448	5
winding_col	re-pair	50	12	8	0.3234518429696209	157	31088	3	0.9236	6.528	31	28496	3	0.9236	1.2792	6
winding_col	sequitur	50	12	8	0.3234518429696209	93	30464	3	0.9208	3.8276	32	28472	2	0.9208	1.282	6
winding_col	re-pair	150	6	4	0.8498829555822761	225	7182	5	0.9984	33.4728	9	4944	5	0.9984	1.4044	1
winding_col	sequitur	150	6	4	0.8498829555822761	70	6444	5	0.9988	10.5524	12	4908	5	0.9988	1.7876	3
winding_col	re-pair	150	6	8	0.741551311018347	278	11066	3	0.9984	36.1428	11	8240	3	0.9984	1.4196	1
winding_col	sequitur	150	6	8	0.741551311018347	97	10184	3	0.9988	12.596	11	8194	3	0.9988	1.3792	5
winding_col	re-pair	150	12	4	0.6566705612341963	247	27172	3	0.9936	31.4968	12	22604	3	0.9936	1.4016	1
winding_col	sequitur	150	12	4	0.6566705612341963	117	26436	3	0.9936	14.6992	12	22580	3	0.9936	1.406	5
winding_col	re-pair	150	12	8	0.5500709512205479	111	28984	3	0.9704	13.722	12	26960	3	0.9704	1.3976	1
winding_col	sequitur	150	12	8	0.5500709512205479	66	28764	3	0.9712	7.9596	12	26984	3	0.9712	1.3968	6
winding_col	re-pair	250	6	4	0.9260342081901299	115	3824	6	0.9992	27.7228	6	2676	6	0.9992	1.6176	1
winding_col	sequitur	250	6	4	0.9260342081901299	45	3494	5	1.0	10.7592	7	2700	5	1.0	1.6232	3
winding_col	re-pair	250	6	8	0.8416302032271945	143	6740	4	0.9988	30.952	6	5254	4	0.9988	1.3264	1
winding_col	sequitur	250	6	8	0.8416302032271945	76	6412	4	0.9992	16.7028	8	5230	4	0.9992	1.6472	4
winding_col	re-pair	250	12	4	0.7869889652852067	197	20264	3	0.9964	42.4248	7	16624	3	0.9964	1.3184	2
winding_col	sequitur	250	12	4	0.7869889652852067	96	19728	3	0.9968	20.7376	8	16584	3	0.9968	1.5244	4
winding_col	re-pair	250	12	8	0.6901204501026411	86	23844	3	0.9492	17.416	8	22148	2	0.9492	1.4068	1
winding_col	sequitur	250	12	8	0.6901204501026411	66	23772	3	0.9496	13.298	8	22148	2	0.9496	1.4072	5
