dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
318_signal1	100	2	2	0.9260814667372934	20	644	201	0.9988666666666667	6.701366666666667	6	546	77	0.9988666666666667	1.5803
318_signal1	100	2	3	0.8954047626083605	40	822	220	1.0	6.0003	20	668	36	1.0	2.008766666666667
318_signal1	100	2	4	0.7452340864347717	42	930	164	1.0	6.014266666666667	15	728	27	1.0	1.6836
318_signal1	100	2	5	0.7665174207855185	49	1114	444	1.0	8.581433333333333	20	884	93	1.0	2.4140333333333333
318_signal1	100	2	6	0.7241408914557839	67	1762	224	1.0	6.7204	23	1412	44	1.0	2.1033666666666666
318_signal1	100	2	7	0.6860746957856197	54	1472	338	1.0	8.0328	19	1200	37	1.0	1.3752333333333333
318_signal1	100	2	8	0.6907779271905429	82	2052	250	1.0	8.387066666666666	35	1712	53	1.0	1.9898333333333333
318_signal1	100	2	9	0.681901029641214	89	3388	299	0.9994333333333333	9.486333333333333	10	2726	156	0.9994333333333333	3.3643666666666667
318_signal1	100	2	10	0.6739288390875784	107	4684	206	0.9998333333333334	10.911933333333334	6	3922	206	0.9998333333333334	2.6782666666666666
318_signal1	100	2	12	0.661335133050548	125	5512	343	0.9993333333333333	10.8566	6	4576	343	0.9993333333333333	3.1826666666666665
318_signal1	100	4	2	0.8176841551386693	204	10020	158	0.9993	10.327133333333334	12	8368	158	0.9993	2.6176333333333335
318_signal1	100	4	3	0.7220911251649265	331	14224	114	1.0	11.683466666666666	75	12032	88	1.0	1.7858
318_signal1	100	4	4	0.6384442754692982	489	21700	127	0.9998666666666667	15.146133333333333	25	17668	127	0.9998666666666667	2.9829666666666665
318_signal1	100	4	5	0.6382608596996957	714	32424	105	0.9998333333333334	18.76706666666667	22	26492	103	0.9998333333333334	2.4840333333333335
318_signal1	100	4	6	0.6081737510876789	842	37212	98	1.0	20.185133333333333	125	30984	67	1.0	1.8729333333333333
318_signal1	100	4	7	0.5845623174795508	967	44008	123	1.0	22.3305	127	36808	109	1.0	1.7866333333333333
318_signal1	100	4	8	0.5691294770038386	1145	48248	84	0.9999666666666667	23.526833333333332	41	38936	72	0.9999666666666667	3.0071333333333334
318_signal1	100	4	9	0.5593168507819177	1267	51832	92	1.0	23.1175	164	42412	76	1.0	1.8355
318_signal1	100	4	10	0.5523314397891594	1342	58804	120	1.0	25.501633333333334	117	48260	71	1.0	1.6577
318_signal1	100	4	12	0.5364517479511817	1493	66432	119	0.9999	27.3886	42	53872	119	0.9999	2.660633333333333
318_signal1	100	6	2	0.7912605125655933	383	22148	122	1.0	13.234466666666666	78	18960	73	1.0	2.0265
318_signal1	100	6	3	0.6856544804580682	701	46310	123	1.0	17.933766666666667	113	39834	123	1.0	1.7432666666666667
318_signal1	100	6	4	0.5844668428527698	867	57328	122	0.9999666666666667	18.202133333333332	40	48020	122	0.9999666666666667	2.4379333333333335
318_signal1	100	6	5	0.5657312900928444	1154	79268	110	1.0	21.660566666666668	151	67912	110	1.0	1.7163
318_signal1	100	6	6	0.5351746541740414	1256	86440	119	0.9998	23.329033333333335	49	72874	119	0.9998	3.076433333333333
318_signal1	100	6	7	0.5148351298968571	1397	98700	83	0.9977333333333334	23.581033333333334	55	83584	63	0.9977333333333334	2.5782333333333334
318_signal1	100	6	8	0.5014321020558937	1482	110322	99	0.9988333333333334	25.18563333333333	56	94164	99	0.9988333333333334	2.656833333333333
318_signal1	100	6	9	0.49241122302379803	1546	117246	85	0.9974333333333333	25.049533333333333	72	100464	85	0.9974333333333333	2.9334333333333333
