dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
TEK14	30	2	2	1.1826603602740442	44	1162	646	0.9496	12.002	17	964	142	0.9496	2.7166
TEK14	30	2	3	0.9223415895941142	14	230	60	0.9368	3.5832	8	186	23	0.9368	1.6934
TEK14	30	2	4	0.9835285388886532	52	3272	646	0.9978	11.8416	13	2988	646	0.9978	5.2442
TEK14	30	2	5	0.8913193833048321	30	730	113	0.9664	4.6676	11	586	61	0.9664	1.8108
TEK14	30	2	6	0.8752373613061526	56	3478	646	0.9964	12.2798	11	3148	646	0.9964	5.1642
TEK14	30	2	7	0.8384527520663032	37	822	176	0.9898	6.2808	15	658	30	0.9898	2.0404
TEK14	30	2	8	0.8423324684990653	69	2572	646	0.9906	12.884	21	2218	298	0.9906	3.79
TEK14	30	2	9	0.8355497838953585	50	1526	175	0.996	7.2026	10	1226	123	0.996	2.3386
TEK14	30	2	10	0.8287934326408642	86	4362	646	0.9988	14.178	18	3870	646	0.9988	5.4314
TEK14	30	2	12	0.8062555471836269	88	2668	646	0.9994	15.2878	21	2188	66	0.9994	2.2882
TEK14	30	4	2	1.1369915884127444	176	7828	417	0.9994	12.423	19	6572	71	0.9994	2.5978
TEK14	30	4	3	0.8970450611899669	135	4888	47	0.9948	5.7294	31	4056	27	0.9948	1.9096
TEK14	30	4	4	0.8863024713011455	248	10252	417	0.9936	12.5246	37	8564	417	0.9936	4.326
TEK14	30	4	5	0.8186186484964656	232	8416	39	0.9274	6.7546	45	6920	39	0.9274	2.0014
TEK14	30	4	6	0.8246109404105288	315	13316	417	0.9996	13.059	54	11228	417	0.9996	4.1374
TEK14	30	4	7	0.7952936574506803	281	10840	31	0.8018	6.182	62	9088	25	0.8018	1.5814
TEK14	30	4	8	0.7916661075747351	361	15084	417	0.9968	12.7746	66	12724	417	0.9968	4.1252
TEK14	30	4	9	0.7778911842136331	302	12628	30	0.9922	6.8352	71	10780	26	0.9922	2.1046
TEK14	30	4	10	0.7717904075224017	327	16028	417	0.997	11.8126	74	14004	417	0.997	4.074
TEK14	30	4	12	0.7552042545126967	298	15844	417	0.9676	11.1286	77	14076	182	0.9676	2.6534
TEK14	30	6	2	1.0465445489658614	244	13456	570	0.9988	16.1862	38	11276	97	0.9988	2.7832
TEK14	30	6	3	0.8933148586737863	234	14890	43	0.7862	6.202	55	12956	29	0.7862	1.6368
TEK14	30	6	4	0.829995535903507	266	19024	569	0.9726	13.8558	63	16866	138	0.9726	2.3322
TEK14	30	6	5	0.8173980724233934	271	23268	32	0.8422	6.8408	66	21126	24	0.8422	1.8746
TEK14	30	6	6	0.7613598302384372	181	22026	567	0.688	11.8816	38	20574	567	0.688	4.407
TEK14	30	6	7	0.768567267919486	284	27424	54	0.6836	6.51	56	24952	54	0.6836	1.601
TEK14	30	6	8	0.7387188810464336	160	23438	534	0.5998	10.5888	34	22138	534	0.5998	4.1562
TEK14	30	6	9	0.7384392824978201	280	28094	165	0.6256	6.9626	55	25672	165	0.6256	1.9194
TEK14	30	6	10	0.7305597040095106	234	27410	233	0.5952	7.3422	42	25402	233	0.5952	2.357
TEK14	30	6	12	0.7190019549633694	263	29240	30	0.5734	4.7972	57	26928	30	0.5734	1.2954
TEK14	30	8	2	1.0696128919157766	280	26520	119	0.9874	8.5962	73	23760	108	0.9874	2.354
TEK14	30	8	3	0.8579244597497632	151	20188	25	0.6684	3.4396	60	19056	25	0.6684	1.3636
TEK14	30	8	4	0.8554962865929261	231	32592	119	0.7062	6.5774	46	30184	119	0.7062	1.8186
TEK14	30	8	5	0.7864164221521579	128	25440	17	0.5894	3.238	32	24164	17	0.5894	1.031
TEK14	30	8	6	0.7825441088483109	234	35328	119	0.599	5.8522	48	32852	119	0.599	1.6516
TEK14	30	8	7	0.7527696596470433	174	30308	20	0.5414	3.9366	44	28648	19	0.5414	1.195
TEK14	30	8	8	0.7448254727313198	217	36812	119	0.567	5.3006	48	34520	119	0.567	1.5754
TEK14	30	8	9	0.7304551791490057	193	35092	22	0.5482	4.224	51	33224	22	0.5482	1.0936
TEK14	30	8	10	0.7226259604789894	200	37012	119	0.5604	4.799	50	34968	119	0.5604	1.6066
TEK14	30	8	12	0.7099778071666752	172	37592	119	0.4944	4.2826	39	35796	119	0.4944	1.4462
TEK14	30	10	2	0.9408340352373747	173	28678	601	0.7708	13.6776	37	26828	145	0.7708	2.1714
TEK14	30	10	3	0.8616130647587508	240	39902	32	0.609	6.3616	40	37018	32	0.609	1.431
TEK14	30	10	4	0.7543175009124448	155	37250	599	0.6044	11.5342	32	35348	599	0.6044	4.2938
TEK14	30	10	5	0.7500595080449077	217	46886	77	0.5654	4.828	57	44310	77	0.5654	1.5006
TEK14	30	10	6	0.7188706332464061	225	45286	226	0.559	7.352	42	42604	226	0.559	2.2048
TEK14	30	10	7	0.690168011662909	115	38062	540	0.5526	9.2318	38	36816	131	0.5526	1.6804
TEK14	30	10	8	0.6915008518125787	102	47960	31	0.3716	1.9208	46	47038	12	0.3716	0.754
TEK14	30	10	9	0.6708429140011816	177	45378	225	0.4932	6.3244	40	43436	225	0.4932	2.315
TEK14	30	10	10	0.6650335119729404	127	47490	77	0.453	2.814	48	46258	77	0.453	1.3496
TEK14	30	10	12	0.6499892070677632	131	45646	188	0.4112	5.0156	32	44248	188	0.4112	1.9426
TEK14	30	12	2	0.9913690229572659	167	37108	555	0.707	12.83	29	34964	555	0.707	4.8428
TEK14	30	12	3	0.8461173497807706	153	39732	14	0.4724	3.5314	34	37596	14	0.4724	1.0476
TEK14	30	12	4	0.7840185438472654	147	44256	555	0.5888	10.669	36	42136	274	0.5888	2.5276
TEK14	30	12	5	0.7699320643285713	195	56740	16	0.5288	3.5768	56	53916	16	0.5288	1.0494
TEK14	30	12	6	0.7213248612102716	115	47220	555	0.535	9.7184	37	45756	555	0.535	4.001
TEK14	30	12	7	0.7215357976502654	101	57124	32	0.3776	1.895	39	55956	32	0.3776	0.7998
TEK14	30	12	8	0.697341852138716	138	51868	338	0.4766	6.8116	31	50020	338	0.4766	2.5816
TEK14	30	12	9	0.6902234978522074	79	57924	33	0.3674	1.543	40	57180	13	0.3674	0.6748
TEK14	30	12	10	0.6822187127166018	126	58580	40	0.3924	2.4302	40	56756	40	0.3924	0.8842
TEK14	30	12	12	0.6684118230325279	43	59004	21	0.1972	0.7528	24	58612	3	0.1972	0.308
TEK14	30	14	2	1.0127539087615238	157	54856	77	0.5674	4.7214	37	52606	77	0.5674	1.6456
TEK14	30	14	3	0.8124518841470458	110	43994	20	0.473	2.7538	30	42304	17	0.473	0.9854
TEK14	30	14	4	0.8011167702555155	145	63548	26	0.502	2.8832	52	61534	26	0.502	1.0192
TEK14	30	14	5	0.7376159578558052	83	49886	7	0.4772	1.7064	37	48818	6	0.4772	0.8536
TEK14	30	14	6	0.7308510358755793	118	66000	26	0.4316	2.03	50	64416	26	0.4316	0.893
TEK14	30	14	7	0.7040926665120315	136	59506	16	0.4732	2.894	50	57708	16	0.4732	1.055
TEK14	30	14	8	0.6937106664069096	83	67106	26	0.3772	1.467	45	66352	6	0.3772	0.6708
TEK14	30	14	9	0.6819214608761274	112	67306	9	0.3482	1.8468	39	65542	9	0.3482	0.6894
TEK14	30	14	10	0.6724060434312016	64	67872	26	0.2746	1.125	31	67148	4	0.2746	0.4206
TEK14	30	14	12	0.6595267763529157	53	68292	24	0.238	0.9802	27	67724	4	0.238	0.3708
TEK14	30	16	2	0.997145581029039	153	64228	73	0.5506	4.5482	36	61792	73	0.5506	1.477
TEK14	30	16	3	0.7971299971884617	116	52052	16	0.5106	2.723	33	50128	16	0.5106	0.9016
TEK14	30	16	4	0.7848178161962029	131	73700	26	0.477	2.4964	46	71568	26	0.477	0.9884
TEK14	30	16	5	0.7201361393324139	74	58276	8	0.422	1.379	36	57276	8	0.422	0.7462
TEK14	30	16	6	0.7141436577334388	93	76840	26	0.4102	1.5258	49	75684	5	0.4102	0.6804
TEK14	30	16	7	0.6863076310028008	78	71124	7	0.3634	1.1282	45	70248	7	0.3634	0.6652
TEK14	30	16	8	0.6785094757996695	69	77500	26	0.321	1.1742	38	76736	5	0.321	0.5092
TEK14	30	16	9	0.6637200329176576	44	77304	4	0.212	0.5984	25	76804	3	0.212	0.3234
TEK14	30	16	10	0.6571068767287284	41	77664	25	0.2254	0.8118	26	77304	5	0.2254	0.3708
TEK14	30	16	12	0.6439513243443714	21	78636	21	0.137	0.4582	12	78396	3	0.137	0.1506
TEK14	30	18	2	0.936635129825447	143	60174	541	0.6344	11.57	23	57366	541	0.6344	4.5278
TEK14	30	18	3	0.7947510374384132	138	64176	12	0.467	2.6502	35	61224	9	0.467	0.8278
TEK14	30	18	4	0.726594322683443	106	69314	541	0.544	9.2834	35	67430	541	0.544	3.98
TEK14	30	18	5	0.7083598221916195	72	86480	7	0.278	1.0732	35	85400	7	0.278	0.5298
TEK14	30	18	6	0.6663398822300323	58	70830	535	0.4324	8.217	26	70014	535	0.4324	3.6716
TEK14	30	18	7	0.662100437569752	43	87244	27	0.242	0.8402	29	86852	27	0.242	0.544
TEK14	30	18	8	0.6404432972123333	67	82828	179	0.346	2.9362	32	81932	179	0.346	1.5074
TEK14	30	18	9	0.6330480981300888	40	87990	27	0.2116	0.7892	25	87520	5	0.2116	0.3556
TEK14	30	18	10	0.6223975483976701	21	88628	21	0.1114	0.4652	11	88324	4	0.1114	0.1452
TEK14	30	18	12	0.6084534449954299	22	88730	21	0.1198	0.4844	13	88462	4	0.1198	0.1768
TEK14	30	20	2	0.8703529353442927	183	69496	587	0.624	12.9284	26	65568	587	0.624	4.4338
TEK14	30	20	3	0.7946357402029038	130	91444	11	0.4028	2.3438	42	88756	11	0.4028	0.8296
TEK14	30	20	4	0.6820786208219405	97	76024	583	0.5276	9.7744	37	74552	583	0.5276	4.209
TEK14	30	20	5	0.6732361739159538	82	95684	42	0.345	1.6492	42	94596	42	0.345	0.8444
TEK14	30	20	6	0.6419438706542274	48	94992	79	0.2656	1.4842	28	94352	36	0.2656	0.6104
TEK14	30	20	7	0.6185077275079184	37	81248	475	0.3692	6.7836	21	80992	475	0.3692	3.2004
TEK14	30	20	8	0.6113933279012119	32	98192	21	0.1602	0.6412	19	97752	5	0.1602	0.265
TEK14	30	20	9	0.5942877680213934	33	96064	75	0.189	1.2184	18	95672	75	0.189	0.6848
TEK14	30	20	10	0.5897261934943809	23	98600	23	0.1186	0.4904	13	98296	2	0.1186	0.1572
TEK14	30	20	12	0.5748551237797479	17	98224	25	0.0984	0.445	10	98072	25	0.0984	0.2674
TEK14	30	22	2	0.8208496845188413	267	96926	131	0.624	8.153	39	89936	131	0.624	2.0202
TEK14	30	22	3	0.7370871067163656	124	103516	26	0.4614	2.2944	52	101086	26	0.4614	1.0436
TEK14	30	22	4	0.6467113349172139	186	104684	84	0.4836	4.468	42	100076	84	0.4836	1.3548
TEK14	30	22	5	0.6104190047389082	184	106940	68	0.4526	3.7328	48	102468	68	0.4526	1.1542
TEK14	30	22	6	0.5951251485331599	51	107104	24	0.2442	0.8738	30	106360	24	0.2442	0.502
TEK14	30	22	7	0.5697046333041758	50	108028	21	0.221	0.8446	29	107320	3	0.221	0.3666
TEK14	30	22	8	0.5559936535085787	34	108022	25	0.1846	0.6524	23	107646	2	0.1846	0.2812
TEK14	30	22	9	0.546447299111268	21	107884	26	0.1176	0.4986	13	107676	26	0.1176	0.3008
TEK14	30	22	10	0.5359609919581035	19	108352	21	0.0968	0.4388	12	108116	3	0.0968	0.156
TEK14	30	22	12	0.5237899148990571	16	108782	21	0.091	0.3892	9	108546	2	0.091	0.1064
