dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
TEK17	100	2	2	1.0942230721763995	27	682	45	0.9808	6.4964	7	540	45	0.9808	3.4174
TEK17	100	2	3	0.8779357823748625	5	82	12	0.9532	2.7618	2	58	10	0.9532	1.1066
TEK17	100	2	4	0.9683461158992781	39	892	38	1.0	7.2666	9	678	30	1.0	2.452
TEK17	100	2	5	0.8243099480375861	11	238	12	1.0	3.2928	5	174	12	1.0	1.8046
TEK17	100	2	6	0.8424223686552017	36	832	53	1.0	6.9266	12	662	32	1.0	2.4174
TEK17	100	2	7	0.7811896939395809	16	316	18	1.0	4.3478	6	226	17	1.0	1.607
TEK17	100	2	8	0.8077212594828852	41	972	53	1.0	7.7016	8	736	53	1.0	3.1264
TEK17	100	2	9	0.7757222441260471	21	506	26	1.0	5.0232	8	370	26	1.0	2.4274
TEK17	100	2	10	0.7910929349360979	47	1100	53	1.0	8.7024	11	838	32	1.0	2.4442
TEK17	100	2	12	0.7694656313678905	49	1148	40	0.9996	8.3406	10	862	40	0.9996	2.9442
TEK17	100	4	2	1.072204465280897	149	6296	174	1.0	24.5388	19	5244	58	1.0	3.073
TEK17	100	4	3	0.8096673614140375	37	1416	35	0.9562	5.138	11	1136	10	0.9562	1.8288
TEK17	100	4	4	0.8373673446123202	187	7660	144	0.9996	25.5778	14	6136	144	0.9996	5.3298
TEK17	100	4	5	0.7426379088711001	80	3268	16	0.9254	7.4752	14	2508	15	0.9254	2.241
TEK17	100	4	6	0.7546723139994953	191	8132	279	0.9996	26.0896	15	6524	279	0.9996	7.5176
TEK17	100	4	7	0.7150646508112829	131	5196	25	1.0	11.7796	25	4160	25	1.0	2.5022
TEK17	100	4	8	0.7217391610647064	221	9188	279	0.9996	27.3582	19	7344	88	0.9996	3.7364
TEK17	100	4	9	0.7008459965631202	173	7152	26	1.0	12.7802	24	5660	12	1.0	1.8774
TEK17	100	4	10	0.703519282483643	242	10924	279	0.998	27.1906	17	8700	88	0.998	3.3912
TEK17	100	4	12	0.6903781366774032	256	11676	279	0.998	27.1202	21	9372	88	0.998	3.613
TEK17	100	6	2	1.0394594000519224	227	12152	55	0.9994	20.072	17	9758	55	0.9994	2.965
TEK17	100	6	3	0.8000572659747571	70	4050	32	0.962	7.1764	10	3216	32	0.962	2.2298
TEK17	100	6	4	0.815162001138694	270	14990	30	1.0	20.9952	36	12044	30	1.0	3.0866
TEK17	100	6	5	0.7215692965075684	128	8182	17	1.0	9.5642	26	6730	17	1.0	2.2924
TEK17	100	6	6	0.7308944669490464	277	17112	30	0.9994	21.1554	27	13910	30	0.9994	3.0138
TEK17	100	6	7	0.6862952545308173	140	10956	10	0.9998	8.013	25	9206	10	0.9998	1.9254
TEK17	100	6	8	0.6907250107582072	276	19434	30	0.9996	20.25	30	16202	18	0.9996	2.3232
TEK17	100	6	9	0.6647330370761677	160	13834	9	0.9982	9.0146	27	11872	8	0.9982	1.8558
TEK17	100	6	10	0.6666062830586925	278	21078	29	0.9998	20.222	31	17878	29	0.9998	2.5664
TEK17	100	6	12	0.6534114606504318	267	22728	29	0.9814	18.8308	31	19518	29	0.9814	2.4308
TEK17	100	8	2	1.0116963626848705	205	18380	48	1.0	14.9548	26	15616	36	1.0	2.6808
TEK17	100	8	3	0.7927562265269871	120	9612	26	1.0	9.4136	24	7876	26	1.0	2.261
TEK17	100	8	4	0.7923414519910144	241	22992	48	0.9994	15.6658	28	19316	48	0.9994	2.9362
TEK17	100	8	5	0.7109828492432635	136	15780	11	0.9996	8.3952	21	13496	11	0.9996	1.7812
TEK17	100	8	6	0.714016521698255	239	26664	48	0.976	15.3132	30	23084	48	0.976	2.503
TEK17	100	8	7	0.6727595452406581	124	19344	16	0.9236	7.39	28	17244	16	0.9236	2.0086
TEK17	100	8	8	0.673291503614578	236	30248	48	0.869	15.401	24	26448	48	0.869	2.424
TEK17	100	8	9	0.6504440131600794	147	23672	19	0.8666	8.694	24	21092	8	0.8666	1.6202
TEK17	100	8	10	0.6483280189040864	245	31988	48	0.807	14.789	21	28052	48	0.807	2.1698
TEK17	100	8	12	0.6347160759740911	245	33792	48	0.7798	14.642	24	29884	48	0.7798	2.298
TEK17	100	10	2	0.9910544549928835	57	17744	21	0.9532	4.831	23	16924	21	0.9532	2.221
TEK17	100	10	3	0.7846877405614537	114	16076	12	0.9472	7.323	21	13934	8	0.9472	1.9876
TEK17	100	10	4	0.7822199758415109	104	25658	8	0.8762	6.0294	30	23636	8	0.8762	1.6524
TEK17	100	10	5	0.6954472200429213	109	23280	6	0.8506	6.6706	26	21138	6	0.8506	1.6466
TEK17	100	10	6	0.7004236080354982	113	29954	9	0.7628	5.9096	27	27656	4	0.7628	1.3826
TEK17	100	10	7	0.6600742261232936	120	27920	6	0.7954	6.5496	21	25308	4	0.7954	1.2912
TEK17	100	10	8	0.6629422886113137	111	32762	5	0.7228	5.6144	24	30614	4	0.7228	1.2234
TEK17	100	10	9	0.6375714314271012	130	32112	5	0.787	6.5818	23	29262	4	0.787	1.2706
TEK17	100	10	10	0.6390599789533636	124	35842	5	0.7168	5.9724	25	33380	5	0.7168	1.214
TEK17	100	10	12	0.623533608531437	122	37962	5	0.7028	5.8854	27	35552	5	0.7028	1.3844
TEK17	100	12	2	0.9741727202254189	72	28260	31	0.873	7.9602	21	27048	31	0.873	2.98
TEK17	100	12	3	0.7803356398137942	108	22944	28	0.9784	7.8876	23	20336	28	0.9784	2.6336
TEK17	100	12	4	0.7695446790953939	123	39312	31	0.7646	8.7732	24	36724	18	0.7646	1.9584
TEK17	100	12	5	0.6907524797425522	124	31828	12	0.7718	7.4092	21	28892	12	0.7718	1.7164
TEK17	100	12	6	0.6887854521402095	159	46784	31	0.7512	9.3846	26	42808	31	0.7512	1.986
TEK17	100	12	7	0.652715592357513	134	38412	14	0.7924	7.9224	19	35252	14	0.7924	1.3712
TEK17	100	12	8	0.6498387217806985	135	49124	31	0.7382	8.094	27	46024	5	0.7382	1.4134
TEK17	100	12	9	0.6300233088467087	153	43140	12	0.7776	8.036	24	39408	12	0.7776	1.385
TEK17	100	12	10	0.6271297876410109	150	53024	31	0.7224	8.3658	27	49508	4	0.7224	1.1746
