dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
ann_gun_CentroidA1	100	2	2	0.77791880916627	7	352	77	1.0	6.839392054039641	2	312	77	1.0	1.668740556394987
ann_gun_CentroidA1	100	2	3	0.8482184476191049	16	380	83	1.0	6.223269042751755	6	292	40	1.0	2.01199893342814
ann_gun_CentroidA1	100	2	4	0.8058733699706854	21	526	70	1.0	7.128877433117056	6	412	40	1.0	2.1672740200871035
ann_gun_CentroidA1	100	2	5	0.7319838003819095	28	858	57	0.998044618256155	7.327793085059106	5	700	38	0.998044618256155	1.4871566971824726
ann_gun_CentroidA1	100	2	6	0.6811950080822019	19	372	83	1.0	6.603057505999467	7	274	37	1.0	2.9007199360056886
ann_gun_CentroidA1	100	2	7	0.6576290390788803	25	626	78	1.0	8.510176873166829	9	508	39	1.0	1.986578970758155
ann_gun_CentroidA1	100	2	8	0.6582076416201771	27	706	51	1.0	8.29010754599591	8	550	51	1.0	1.9415163096613635
ann_gun_CentroidA1	100	2	9	0.6585556233080674	48	1218	60	1.0	8.686516754066306	12	968	51	1.0	1.538974313394365
ann_gun_CentroidA1	100	2	10	0.6451046124995629	43	1676	79	0.9994667140698604	9.75468847213581	5	1376	79	0.9994667140698604	2.398808994756022
ann_gun_CentroidA1	100	2	12	0.6245546846236489	38	1434	61	1.0	7.935561283441472	8	1208	61	1.0	1.3503688561016798
ann_gun_CentroidA1	100	4	2	0.6365544875122269	33	1160	61	0.998933428139721	7.477024264509821	8	920	61	0.998933428139721	2.5990578615234203
ann_gun_CentroidA1	100	4	3	0.5998703680325141	104	5504	60	0.9992889520931473	11.828815216425207	11	4660	60	0.9992889520931473	1.9408941427428672
ann_gun_CentroidA1	100	4	4	0.5346843518105743	148	7148	70	1.0	13.233401475424406	22	6020	36	1.0	2.029686250111101
ann_gun_CentroidA1	100	4	5	0.4888893424048459	216	9236	70	1.0	14.259354724024531	32	7596	70	1.0	2.049951115456404
ann_gun_CentroidA1	100	4	6	0.45649964555926187	247	11600	68	1.0	16.25473291262999	36	9704	68	1.0	1.8967202915296417
ann_gun_CentroidA1	100	4	7	0.4288451050983453	287	13284	52	0.999555595058217	18.147098035730156	19	10836	48	0.999555595058217	2.226557639320949
ann_gun_CentroidA1	100	4	8	0.4207963243455686	344	15780	56	1.0	20.273042396231446	48	13152	50	1.0	1.8588569904897343
ann_gun_CentroidA1	100	4	9	0.41610897922022244	410	18180	54	0.9996444760465737	22.081059461381212	17	14720	53	0.9996444760465737	2.405475068882766
ann_gun_CentroidA1	100	4	10	0.40659502474935394	438	19472	68	0.9999111190116434	23.690160874588926	15	15696	68	0.9999111190116434	2.4437827748644563
ann_gun_CentroidA1	100	4	12	0.39466293136072067	502	22836	56	0.9910230201759843	24.644120522620213	18	18532	51	0.9910230201759843	2.715047551328771
ann_gun_CentroidA1	100	6	2	0.5731466833906917	59	4136	69	1.0	10.184694693804994	10	3586	69	1.0	2.062927739756466
ann_gun_CentroidA1	100	6	3	0.5349483071233359	190	12382	66	0.9996444760465737	12.524575593280597	10	10340	66	0.9996444760465737	1.9497822415785264
ann_gun_CentroidA1	100	6	4	0.4725877693367837	275	17754	64	0.9998222380232868	15.89103190827482	19	14870	64	0.9998222380232868	2.1714514265398632
ann_gun_CentroidA1	100	6	5	0.41084647196359847	302	20386	70	0.9868456137232247	15.273753444138299	15	16978	70	0.9868456137232247	2.2718869433828104
ann_gun_CentroidA1	100	6	6	0.37538365870053636	370	25658	53	0.9919118300595503	19.65620833703671	16	21544	53	0.9919118300595503	2.118033952537552
ann_gun_CentroidA1	100	6	7	0.3477681735489584	421	30346	54	0.9714692027375345	21.03208603679673	17	25524	54	0.9714692027375345	1.8077504221846947
ann_gun_CentroidA1	100	6	8	0.3328411226572076	485	33494	61	0.9729801795395965	22.303350813261044	17	27946	61	0.9729801795395965	2.3805883921429207
ann_gun_CentroidA1	100	6	9	0.33026396990313	551	37876	66	0.9628477468669452	24.03812994400498	23	31738	66	0.9628477468669452	2.394809350279975
ann_gun_CentroidA1	100	6	10	0.32246450898607143	575	40744	51	0.9644476046573638	22.59959114745356	28	33946	51	0.9644476046573638	2.526175451071016
ann_gun_CentroidA1	100	6	12	0.3031552414103074	673	47020	55	0.9651586525642165	24.6480312861079	28	39102	55	0.9651586525642165	2.344858234823571
ann_gun_CentroidA1	100	8	2	0.5340606376570499	99	6828	55	0.999555595058217	9.80783930317305	15	5544	52	0.999555595058217	2.5661718958314816
ann_gun_CentroidA1	100	8	3	0.4956026310436231	247	23456	59	0.9998222380232868	14.891120789263177	15	19976	59	0.9998222380232868	1.951382099368945
ann_gun_CentroidA1	100	8	4	0.43376359646330753	333	30368	64	0.9812461114567594	16.698515687494446	17	25796	64	0.9812461114567594	2.63034396942494
ann_gun_CentroidA1	100	8	5	0.3716508077081996	415	37620	61	0.9671140343080615	17.951382099368946	19	31688	61	0.9671140343080615	1.7025153319704915
ann_gun_CentroidA1	100	8	6	0.3335559389103643	486	44088	62	0.9674695582614878	20.149053417474	19	37160	62	0.9674695582614878	2.1329659585814595
ann_gun_CentroidA1	100	8	7	0.3047120992841451	529	50880	43	0.9653364145409297	22.056083903653008	29	43504	43	0.9653364145409297	2.0977690871922494
ann_gun_CentroidA1	100	8	8	0.2906597903291388	565	56076	54	0.9537818860545729	22.90685272420229	22	47912	54	0.9537818860545729	1.9629366278553018
ann_gun_CentroidA1	100	8	9	0.28676020210803393	635	62556	41	0.9544929339614256	21.453737445560396	19	53200	41	0.9544929339614256	1.6868722780197316
ann_gun_CentroidA1	100	8	10	0.28066524457335734	663	66384	59	0.9490711936716736	20.905519509376944	22	56488	59	0.9490711936716736	1.8961870055995023
ann_gun_CentroidA1	100	8	12	0.2615760945093778	675	72740	40	0.9495155986134566	21.22566882943738	27	62424	40	0.9495155986134566	1.8583237045595946
ann_gun_CentroidA1	100	10	2	0.5076761222168665	111	14328	68	0.9978668562794418	10.117500666607413	11	12594	68	0.9978668562794418	3.028264154297396
ann_gun_CentroidA1	100	10	3	0.47062738576701435	298	35732	43	0.9610701270998133	15.979290729712915	23	30804	41	0.9610701270998133	1.9669362723313484
ann_gun_CentroidA1	100	10	4	0.40815009909493183	406	46174	64	0.9675584392498444	18.88818771664741	19	39604	64	0.9675584392498444	2.796195893698338
ann_gun_CentroidA1	100	10	5	0.34624379250913906	472	55530	57	0.9522709092525109	16.882765976357657	18	47088	57	0.9522709092525109	1.697626877610879
ann_gun_CentroidA1	100	10	6	0.3066388967912582	546	66596	50	0.9508488134388055	20.37881077237579	17	56708	50	0.9508488134388055	1.997866856279442
ann_gun_CentroidA1	100	10	7	0.2786722799703589	624	75378	52	0.9534263621011466	23.67780641720736	23	64602	52	0.9534263621011466	2.260865700826593
ann_gun_CentroidA1	100	10	8	0.2643976118931712	659	81114	44	0.9483601457648209	22.701715403075283	21	69516	44	0.9483601457648209	1.9378721891387432
ann_gun_CentroidA1	100	10	9	0.2607598050797695	638	88154	44	0.9391165229757354	19.40716380766154	29	76298	44	0.9391165229757354	2.317127366456315
ann_gun_CentroidA1	100	10	10	0.25406476231983893	621	92296	34	0.9333392587325571	18.097058039285397	31	80638	34	0.9333392587325571	2.121144787130033
ann_gun_CentroidA1	100	10	12	0.23485099268040915	674	101144	31	0.9242733979201849	19.040529730690604	35	88288	31	0.9242733979201849	1.880188427695316
ann_gun_CentroidA1	100	12	2	0.48898643893439075	138	20480	75	1.0	12.493111723402365	21	18192	75	1.0	2.219447160252422
ann_gun_CentroidA1	100	12	3	0.4527548666174502	364	50328	46	0.9621366989600925	18.432139365389745	22	43724	46	0.9621366989600925	2.367256243889432
ann_gun_CentroidA1	100	12	4	0.3909232033622879	471	67864	63	0.9530708381477202	19.930228424140076	23	58940	63	0.9530708381477202	1.8241934050306639
ann_gun_CentroidA1	100	12	5	0.32787995620756283	474	74688	66	0.952893076171007	18.458714780908362	17	64804	65	0.952893076171007	1.7669540485290196
ann_gun_CentroidA1	100	12	6	0.28815554350651185	609	90248	60	0.9506710514620923	21.15047551328771	21	77500	60	0.9506710514620923	2.015020887032264
ann_gun_CentroidA1	100	12	7	0.2594859922791225	725	102844	29	0.9526264332059372	22.989156519420497	27	87760	29	0.9526264332059372	2.1283441471869167
ann_gun_CentroidA1	100	12	8	0.2457982479869639	684	107248	44	0.9458714780908364	21.610079104079638	38	92832	44	0.9458714780908364	2.03884099191183
ann_gun_CentroidA1	100	12	9	0.24226950343107653	593	114192	35	0.9238289929784019	17.434716914052085	30	100956	35	0.9238289929784019	1.9452493111723403
ann_gun_CentroidA1	100	12	10	0.23591344016855578	574	117820	32	0.9145853701893165	16.17287352235357	32	105216	32	0.9145853701893165	2.1343880543951648
ann_gun_CentroidA1	100	12	12	0.21709423199707367	591	126116	30	0.9206292773975646	15.708203715225313	42	113180	30	0.9206292773975646	1.8354812905519509
