dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
chfdbchf15	100	2	2	0.8663383782321162	7	446	100	0.994	7.1254	2	406	100	0.994	1.6474
chfdbchf15	100	2	3	0.883036462249861	29	670	99	1.0	6.114133333333333	8	492	76	1.0	2.723333333333333
chfdbchf15	100	2	4	0.7461043986559597	18	380	73	0.994	5.278666666666667	6	298	73	0.994	2.1073333333333335
chfdbchf15	100	2	5	0.725922232448378	20	608	78	0.9944666666666667	6.197133333333333	5	486	76	0.9944666666666667	2.430066666666667
chfdbchf15	100	2	6	0.6965617018082663	27	914	92	1.0	8.224	6	750	84	1.0	2.587066666666667
chfdbchf15	100	2	7	0.6769403633333577	43	918	94	1.0	8.0138	17	724	47	1.0	2.227533333333333
chfdbchf15	100	2	8	0.6647751329951981	33	1038	82	1.0	8.384133333333333	9	864	74	1.0	2.018466666666667
chfdbchf15	100	2	9	0.6560840018058959	50	1672	125	1.0	9.0274	12	1378	66	1.0	2.144066666666667
chfdbchf15	100	2	10	0.6498109413727599	55	1850	70	0.9993333333333333	8.1742	10	1488	70	0.9993333333333333	2.5518
chfdbchf15	100	2	12	0.638101424393578	54	1758	124	1.0	9.6042	13	1440	54	1.0	2.0578
chfdbchf15	100	4	2	0.7918001604316984	94	3964	85	0.9992	8.874533333333334	13	3260	63	0.9992	2.452
chfdbchf15	100	4	3	0.6929711202675666	198	8748	82	0.9997333333333334	12.052466666666668	11	7092	82	0.9997333333333334	2.3292
chfdbchf15	100	4	4	0.624513752038395	266	11260	62	0.9995333333333334	13.521133333333333	11	9004	52	0.9995333333333334	1.9362666666666666
chfdbchf15	100	4	5	0.5940289830953174	300	14008	79	0.9992666666666666	15.914866666666667	15	11512	72	0.9992666666666666	2.2589333333333332
chfdbchf15	100	4	6	0.6011851131194162	438	19044	62	0.9997333333333334	19.6608	19	15360	62	0.9997333333333334	2.0876
chfdbchf15	100	4	7	0.5739712988767097	472	20972	42	0.9992	19.8616	19	16872	42	0.9992	2.2
chfdbchf15	100	4	8	0.5463884828578017	480	21104	63	0.9992666666666666	19.543133333333333	21	16948	63	0.9992666666666666	1.9389333333333334
chfdbchf15	100	4	9	0.5404499841023822	591	25028	62	0.9992666666666666	21.695133333333334	26	19820	62	0.9992666666666666	2.4788
chfdbchf15	100	4	10	0.5265079956448022	607	26584	60	0.9995333333333334	21.889866666666666	25	21304	60	0.9995333333333334	2.3489333333333335
chfdbchf15	100	4	12	0.514218089148117	751	30764	43	0.998	24.4582	34	24444	43	0.998	2.5244
chfdbchf15	100	6	2	0.7575139135459726	197	12314	72	0.9990666666666667	13.337333333333333	15	10292	56	0.9990666666666667	2.538466666666667
chfdbchf15	100	6	3	0.653838182391192	344	20194	62	0.9996	16.3854	19	16476	62	0.9996	2.9966666666666666
chfdbchf15	100	6	4	0.5562798545709466	433	27808	77	0.9974666666666666	20.089066666666668	13	23080	77	0.9974666666666666	2.2616666666666667
chfdbchf15	100	6	5	0.5003060161182203	522	36456	61	0.9991333333333333	23.762066666666666	17	30768	50	0.9991333333333333	1.8897333333333333
chfdbchf15	100	6	6	0.497119879484485	749	45870	47	0.9994666666666666	24.957533333333334	27	37346	40	0.9994666666666666	2.3118
chfdbchf15	100	6	7	0.46869427418525994	789	49844	66	0.996	27.285933333333332	24	40850	66	0.996	2.9273333333333333
chfdbchf15	100	6	8	0.44834161714603515	843	55150	76	0.9949333333333333	27.2502	25	45448	76	0.9949333333333333	2.0610666666666666
chfdbchf15	100	6	9	0.4413770876938447	952	60128	51	0.9918666666666667	28.251133333333332	28	49170	51	0.9918666666666667	2.6082666666666667
chfdbchf15	100	6	10	0.43214754678006767	1056	66286	50	0.9908666666666667	29.7088	29	54222	50	0.9908666666666667	2.3027333333333333
chfdbchf15	100	6	12	0.4178708261421795	1118	72324	38	0.9916666666666667	29.006666666666668	40	59344	38	0.9916666666666667	2.364533333333333
chfdbchf15	100	8	2	0.7156826876007882	296	25076	75	0.9996666666666667	16.626933333333334	13	21332	69	0.9996666666666667	2.631466666666667
chfdbchf15	100	8	3	0.626364554716901	508	39428	53	0.9992666666666666	19.7144	22	32632	53	0.9992666666666666	2.768866666666667
chfdbchf15	100	8	4	0.52061429212275	582	50792	67	0.9933333333333333	23.378466666666668	19	42960	67	0.9933333333333333	2.563066666666667
chfdbchf15	100	8	5	0.4642389324851622	733	64392	62	0.9988666666666667	27.707866666666668	25	54380	62	0.9988666666666667	2.6538
chfdbchf15	100	8	6	0.4566900226482087	979	83672	71	0.9989333333333333	30.6578	38	70000	71	0.9989333333333333	1.9328666666666667
chfdbchf15	100	8	7	0.4287638988639415	1026	90336	69	0.9922666666666666	32.01453333333333	23	75684	69	0.9922666666666666	1.9458666666666666
chfdbchf15	100	8	8	0.40614830985353567	1086	98948	66	0.9903333333333333	32.37486666666667	31	83332	61	0.9903333333333333	2.0420666666666665
chfdbchf15	100	8	9	0.3987388164696603	1180	107744	41	0.9918666666666667	31.618933333333334	40	90144	41	0.9918666666666667	1.9756
chfdbchf15	100	8	10	0.38646810199557985	1222	111532	45	0.9908666666666667	31.893866666666668	37	93844	45	0.9908666666666667	1.9956666666666667
chfdbchf15	100	8	12	0.36915632034719975	1291	120312	29	0.989	29.582933333333333	58	101052	29	0.989	2.206
chfdbchf15	100	10	2	0.6832291258277233	348	41104	78	1.0	18.633866666666666	49	36222	78	1.0	1.9534666666666667
chfdbchf15	100	10	3	0.6005873550511606	618	61590	51	0.9988	20.1678	30	51140	51	0.9988	2.3084
chfdbchf15	100	10	4	0.49265282598803295	744	83032	83	0.9932666666666666	28.473666666666666	13	70912	83	0.9932666666666666	2.4076
chfdbchf15	100	10	5	0.43569263642040423	870	98036	75	0.9932	30.172733333333333	23	83386	75	0.9932	2.1599333333333335
chfdbchf15	100	10	6	0.4257930710058507	1105	119740	60	0.9939333333333333	30.4912	44	100852	60	0.9939333333333333	2.6162666666666667
chfdbchf15	100	10	7	0.3978262224439659	1195	129690	64	0.9898	32.2534	33	108984	64	0.9898	2.5309333333333335
chfdbchf15	100	10	8	0.37525524833988977	1154	139424	54	0.989	32.728	31	118834	52	0.989	2.6666666666666665
chfdbchf15	100	10	9	0.36753282139485866	1274	150326	51	0.9897333333333334	30.152333333333335	56	127462	51	0.9897333333333334	2.1658
chfdbchf15	100	10	10	0.35509336206792974	1280	155986	32	0.9914666666666667	29.4318	40	133020	32	0.9914666666666667	2.1384
chfdbchf15	100	10	12	0.3379402702502189	1196	160996	19	0.9828	23.878533333333333	66	138954	16	0.9828	2.0329333333333333
chfdbchf15	100	12	2	0.6600542331558272	468	59484	70	0.9997333333333334	20.588333333333335	23	51056	70	0.9997333333333334	2.1568666666666667
chfdbchf15	100	12	3	0.5789711234048234	737	87888	51	0.9986666666666667	22.673466666666666	24	73320	50	0.9986666666666667	2.5101333333333335
chfdbchf15	100	12	4	0.4700451147240433	894	110456	60	0.9932666666666666	29.352333333333334	26	93760	60	0.9932666666666666	2.582133333333333
chfdbchf15	100	12	5	0.41378544567521436	971	132540	73	0.9909333333333333	31.423666666666666	26	113528	73	0.9909333333333333	1.9496
chfdbchf15	100	12	6	0.40371526375385675	1079	150636	53	0.9904	26.0904	58	128032	53	0.9904	2.2116666666666664
chfdbchf15	100	12	7	0.3751074107623097	1170	163264	41	0.9910666666666667	28.000333333333334	45	139044	41	0.9910666666666667	2.163133333333333
chfdbchf15	100	12	8	0.35277024103245025	1153	171948	47	0.9878666666666667	29.829	37	148376	47	0.9878666666666667	2.1323333333333334
chfdbchf15	100	12	9	0.34496425469500974	1117	179084	23	0.9822	23.337133333333334	62	154936	23	0.9822	1.9214666666666667
chfdbchf15	100	12	10	0.3323469557364574	1076	182496	26	0.9764666666666667	22.314666666666668	67	159368	26	0.9764666666666667	2.079466666666667
chfdbchf15	100	12	12	0.3151019473455051	939	186272	16	0.9608	17.868066666666667	74	165896	16	0.9608	1.9225333333333334
chfdbchf15	100	14	2	0.6410187208639188	540	76520	75	0.9987333333333334	24.704	15	65936	64	0.9987333333333334	2.7072666666666665
chfdbchf15	100	14	3	0.5614061168631372	771	115058	63	0.9991333333333333	23.021533333333334	35	98046	63	0.9991333333333333	1.983
chfdbchf15	100	14	4	0.4529531344115298	1000	150604	70	0.9918666666666667	31.499866666666666	26	128412	70	0.9918666666666667	2.0449333333333333
chfdbchf15	100	14	5	0.39651781192126967	1025	163518	55	0.9898666666666667	30.169933333333333	30	140704	55	0.9898666666666667	2.2982
chfdbchf15	100	14	6	0.38624320598279804	1113	190316	51	0.9869333333333333	27.089	56	163972	51	0.9869333333333333	2.3434
chfdbchf15	100	14	7	0.3572411419615658	1180	201518	45	0.9885333333333334	27.235333333333333	51	173398	45	0.9885333333333334	2.3387333333333333
chfdbchf15	100	14	8	0.3348387073300784	1057	208302	50	0.9802666666666666	25.5294	44	182706	38	0.9802666666666666	1.7801333333333333
chfdbchf15	100	14	9	0.32667135537417863	974	211556	21	0.9682	19.347666666666665	66	186998	21	0.9682	1.8164666666666667
chfdbchf15	100	14	10	0.3140880114326438	935	216120	26	0.9546	18.745266666666666	59	192798	26	0.9546	1.8182666666666667
chfdbchf15	100	14	12	0.29667835050092534	783	218790	22	0.9486	14.341666666666667	76	198924	22	0.9486	1.6006666666666667
chfdbchf15	100	16	2	0.6254579033952042	610	106576	79	0.9991333333333333	25.883133333333333	21	92344	73	0.9991333333333333	2.8398666666666665
chfdbchf15	100	16	3	0.5477756843335423	830	151916	50	0.9934666666666667	24.48506666666667	43	130300	50	0.9934666666666667	2.3034
chfdbchf15	100	16	4	0.4391146015899927	1075	186780	59	0.9906	31.023466666666668	29	158996	59	0.9906	2.678933333333333
chfdbchf15	100	16	5	0.3821786611680687	1079	208740	60	0.987	32.129666666666665	33	181532	60	0.987	1.9653333333333334
chfdbchf15	100	16	6	0.37169403453776995	1070	231360	50	0.9814666666666667	25.620933333333333	60	202448	50	0.9814666666666667	2.0256
chfdbchf15	100	16	7	0.3424234789266786	1136	244492	43	0.9844	25.21773333333333	41	212848	43	0.9844	1.9814
chfdbchf15	100	16	8	0.3206295534501937	1064	249152	31	0.9583333333333334	23.61006666666667	45	219536	31	0.9583333333333334	1.7437333333333334
chfdbchf15	100	16	9	0.312324233593473	929	252080	17	0.9508	17.469666666666665	74	225536	17	0.9508	1.8912
chfdbchf15	100	16	10	0.2996912973575839	879	254644	22	0.9402	16.195066666666666	71	230000	22	0.9402	1.6315333333333333
chfdbchf15	100	16	12	0.2821840578085027	669	250640	18	0.9346	11.695066666666667	79	231708	18	0.9346	1.6346
chfdbchf15	100	18	2	0.6130160235881474	654	118488	53	0.9990666666666667	23.416	22	100990	53	0.9990666666666667	2.3219333333333334
chfdbchf15	100	18	3	0.5365815106971936	879	181690	63	0.9951333333333333	24.4416	35	156274	63	0.9951333333333333	2.2536666666666667
chfdbchf15	100	18	4	0.42715795704878157	1116	227780	66	0.988	31.1262	25	194810	66	0.988	2.2048666666666668
chfdbchf15	100	18	5	0.37071828237195703	1126	250402	61	0.9810666666666666	32.1566	37	218290	61	0.9810666666666666	1.99
chfdbchf15	100	18	6	0.36025140764238583	998	270700	37	0.9706	23.225133333333332	67	239896	37	0.9706	2.0678666666666667
chfdbchf15	100	18	7	0.33097022489385985	1059	281122	36	0.9677333333333333	22.2162	53	246994	36	0.9677333333333333	2.0132
chfdbchf15	100	18	8	0.30907955191159975	1024	283342	35	0.9443333333333334	22.219733333333334	54	251830	35	0.9443333333333334	2.1398
chfdbchf15	100	18	9	0.30087239428250934	790	283744	18	0.9369333333333333	14.032533333333333	86	258630	12	0.9369333333333333	1.6403333333333334
chfdbchf15	100	18	10	0.2879030816459287	720	283434	19	0.9194666666666667	13.045533333333333	72	260088	19	0.9194666666666667	1.5458666666666667
chfdbchf15	100	18	12	0.2704194015176862	535	278626	11	0.8877333333333334	8.848466666666667	88	262432	9	0.8877333333333334	1.5514666666666668
chfdbchf15	100	20	2	0.6001624545633584	718	155132	61	0.9990666666666667	27.617333333333335	27	134072	61	0.9990666666666667	2.3855333333333335
chfdbchf15	100	20	3	0.5247670108001893	871	216628	73	0.9882	24.630733333333332	43	187748	73	0.9882	2.7622
chfdbchf15	100	20	4	0.41532126202542075	1123	259852	43	0.9878	28.915666666666667	37	223424	43	0.9878	2.2217333333333333
chfdbchf15	100	20	5	0.35941627419256333	1096	286608	57	0.9795333333333334	29.28	38	250624	57	0.9795333333333334	1.734
chfdbchf15	100	20	6	0.3484591349746258	938	303052	31	0.9679333333333333	20.760133333333332	75	271680	31	0.9679333333333333	1.8948
chfdbchf15	100	20	7	0.318857935524937	948	311800	32	0.9493333333333334	19.98	51	279068	32	0.9493333333333334	1.9051333333333333
chfdbchf15	100	20	8	0.296811797241115	891	314840	30	0.9331333333333334	18.73	48	284172	30	0.9331333333333334	1.7761333333333333
chfdbchf15	100	20	9	0.2889383515564389	669	312464	18	0.9254666666666667	11.546666666666667	87	289184	18	0.9254666666666667	1.5862666666666667
chfdbchf15	100	20	10	0.27553576450461176	610	310988	10	0.9215333333333333	10.567133333333333	82	290332	10	0.9215333333333333	1.6380666666666666
chfdbchf15	100	20	12	0.25837472639385334	391	305072	7	0.8802666666666666	6.197866666666667	92	292532	7	0.8802666666666666	1.483
chfdbchf15	100	22	2	0.5928175846747832	758	187090	74	0.9998666666666667	29.0282	22	162702	74	0.9998666666666667	2.654733333333333
chfdbchf15	100	22	3	0.5178523456440749	900	246140	71	0.9880666666666666	24.544133333333335	42	214092	71	0.9880666666666666	2.9686666666666666
chfdbchf15	100	22	4	0.4083980212486415	1120	297936	49	0.9788666666666667	29.050666666666668	32	257792	49	0.9788666666666667	2.303
chfdbchf15	100	22	5	0.3525480798103551	1103	318650	51	0.9615333333333334	27.861666666666668	43	279686	51	0.9615333333333334	2.0204666666666666
chfdbchf15	100	22	6	0.34122510731665745	849	334868	20	0.9514	18.405066666666666	78	304012	20	0.9514	2.0544
chfdbchf15	100	22	7	0.31184758004477764	856	342886	23	0.9344666666666667	17.161733333333334	58	309808	23	0.9344666666666667	1.8249333333333333
chfdbchf15	100	22	8	0.2898314497343572	836	346342	30	0.9342	17.108266666666665	56	314366	30	0.9342	1.6821333333333333
chfdbchf15	100	22	9	0.2821462614211206	572	340698	14	0.9224666666666667	9.7498	86	319732	14	0.9224666666666667	1.6043333333333334
chfdbchf15	100	22	10	0.2687937989769946	517	339486	11	0.8806	8.786266666666666	81	320656	11	0.8806	1.4970666666666668
chfdbchf15	100	22	12	0.2512833623801188	341	331742	9	0.8369333333333333	5.3906	104	321360	9	0.8369333333333333	1.6462
chfdbchf15	100	24	2	0.584493998622012	795	198964	72	0.9996666666666667	26.909666666666666	23	170720	72	0.9996666666666667	3.0393333333333334
chfdbchf15	100	24	3	0.509872840617646	870	282228	68	0.9748666666666667	24.298466666666666	45	248612	68	0.9748666666666667	2.6848
chfdbchf15	100	24	4	0.4004001705319728	1118	329976	44	0.9718	28.095933333333335	37	286012	44	0.9718	2.557933333333333
chfdbchf15	100	24	5	0.3445360917886525	1063	355684	59	0.9528	26.998066666666666	36	313124	59	0.9528	2.1184666666666665
