dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
dutch_power_demand	100	2	2	0.9218191572749113	16	1348	305	0.9988013698630137	7.358447488584475	3	1246	305	0.9988013698630137	1.9421803652968037
dutch_power_demand	100	2	3	0.9234228332034875	35	922	262	0.9997431506849315	6.758961187214612	17	784	70	0.9997431506849315	2.224800228310502
dutch_power_demand	100	2	4	0.8893421548330646	56	2902	258	0.9999429223744293	8.628224885844748	6	2492	258	0.9999429223744293	2.7735445205479454
dutch_power_demand	100	2	5	0.813741996624018	53	3146	323	0.9998002283105023	7.61769406392694	4	2754	323	0.9998002283105023	2.727882420091324
dutch_power_demand	100	2	6	0.7685363645867221	51	2320	269	0.9999429223744293	8.029052511415525	6	1954	269	0.9999429223744293	2.442922374429224
dutch_power_demand	100	2	7	0.7469949012634993	72	4098	287	0.999857305936073	9.90953196347032	9	3558	227	0.999857305936073	3.3946061643835614
dutch_power_demand	100	2	8	0.7518064642094618	94	4672	286	0.9997716894977169	11.512471461187214	9	3988	286	0.9997716894977169	3.2596746575342466
dutch_power_demand	100	2	9	0.7517691091568894	101	4334	313	0.999857305936073	11.370376712328767	13	3632	313	0.999857305936073	3.355365296803653
dutch_power_demand	100	2	10	0.7346730202703476	114	5268	277	0.9999429223744293	12.426569634703196	12	4462	268	0.9999429223744293	3.3550513698630136
dutch_power_demand	100	2	12	0.7135295623204617	151	5932	249	1.0	14.002739726027396	32	4958	233	1.0	2.5610159817351597
dutch_power_demand	100	4	2	0.7411821678751677	156	6524	314	1.0	11.000399543378995	42	5584	187	1.0	2.787043378995434
dutch_power_demand	100	4	3	0.6620099046372896	296	18028	242	0.9996860730593607	14.52611301369863	30	15752	198	0.9996860730593607	2.664697488584475
dutch_power_demand	100	4	4	0.6420721111726599	495	28620	212	0.9998002283105023	17.121718036529682	38	24604	201	0.9998002283105023	2.8839897260273974
dutch_power_demand	100	4	5	0.6073938601171976	818	38336	165	0.999857305936073	19.240125570776257	43	31772	141	0.999857305936073	2.772060502283105
dutch_power_demand	100	4	6	0.5602941654161487	827	45872	222	1.0	21.428538812785387	99	39668	222	1.0	1.5223744292237442
dutch_power_demand	100	4	7	0.5330184667743728	993	49656	145	0.9998858447488584	23.95191210045662	51	41676	145	0.9998858447488584	3.2067351598173515
dutch_power_demand	100	4	8	0.526682266033332	1172	63144	244	1.0	27.817808219178083	94	54032	244	1.0	1.4174086757990867
dutch_power_demand	100	4	9	0.5284191144540384	1417	70612	189	1.0	30.118550228310504	140	59808	189	1.0	1.6515981735159817
dutch_power_demand	100	4	10	0.5235578733247954	1643	75832	153	0.9998858447488584	31.11572488584475	63	62576	153	0.9998858447488584	2.8335616438356164
dutch_power_demand	100	4	12	0.49909322417452123	1702	83764	212	0.9999143835616439	33.15607876712329	68	70064	212	0.9999143835616439	2.3551655251141552
dutch_power_demand	100	6	2	0.6701917558035282	284	17540	234	1.0	12.68490296803653	46	14886	177	1.0	1.8436929223744292
dutch_power_demand	100	6	3	0.5853921170085381	651	48124	156	0.9998002283105023	16.768978310502284	51	41574	142	0.9998002283105023	2.4042237442922376
dutch_power_demand	100	6	4	0.5678521733191401	947	70982	160	0.9998858447488584	21.20413812785388	59	61506	160	0.9998858447488584	2.7951769406392692
dutch_power_demand	100	6	5	0.5297663073599203	1350	91418	107	0.9995719178082192	23.077083333333334	80	77674	107	0.9995719178082192	2.81287100456621
dutch_power_demand	100	6	6	0.4765251334356169	1165	97320	142	0.9977739726027397	25.14900114155251	84	85870	142	0.9977739726027397	2.7000570776255706
dutch_power_demand	100	6	7	0.445700455464442	1192	110168	206	0.994263698630137	28.95068493150685	82	98494	206	0.994263698630137	2.916980593607306
dutch_power_demand	100	6	8	0.4379348202839871	1439	124380	146	0.9742009132420091	29.796775114155253	95	110532	146	0.9742009132420091	2.9943778538812786
dutch_power_demand	100	6	9	0.44201753757576223	1813	143916	109	0.9712899543378996	30.24183789954338	102	125596	109	0.9712899543378996	2.5573630136986303
dutch_power_demand	100	6	10	0.4409765575357367	2074	157222	58	0.9375285388127854	29.38527397260274	112	135750	58	0.9375285388127854	2.812557077625571
dutch_power_demand	100	6	12	0.41891896618059504	2163	172322	90	0.9257420091324201	32.47274543378995	100	150030	90	0.9257420091324201	2.7570776255707763
dutch_power_demand	100	8	2	0.6307117060065932	433	52104	285	1.0	15.340610730593607	50	46616	285	1.0	1.6301655251141554
dutch_power_demand	100	8	3	0.5435108784537066	697	75472	131	0.9990582191780822	16.010587899543378	77	67028	122	0.9990582191780822	2.735816210045662
dutch_power_demand	100	8	4	0.5262941509937931	1070	127464	157	0.9877283105022832	24.35704908675799	73	114988	145	0.9877283105022832	2.878396118721461
dutch_power_demand	100	8	5	0.48824977645972	1551	158484	63	0.9578196347031963	22.581050228310502	96	138640	63	0.9578196347031963	2.8122431506849317
dutch_power_demand	100	8	6	0.4337066181431677	1404	168328	181	0.9325342465753425	25.391980593607308	102	151528	181	0.9325342465753425	2.5983732876712327
dutch_power_demand	100	8	7	0.400595594028143	1467	183672	115	0.9190353881278539	29.23924086757991	80	166412	115	0.9190353881278539	2.717808219178082
dutch_power_demand	100	8	8	0.39198780815225853	1856	211680	86	0.8938641552511416	30.834446347031964	91	188872	86	0.8938641552511416	2.647745433789954
dutch_power_demand	100	8	9	0.3960306892369667	2171	233396	48	0.8867294520547945	27.725028538812786	108	204696	48	0.8867294520547945	2.466695205479452
dutch_power_demand	100	8	10	0.39598026680407405	2325	249760	36	0.8818493150684932	23.63421803652968	126	217412	36	0.8818493150684932	1.964183789954338
dutch_power_demand	100	8	12	0.3758518754781776	2380	265724	41	0.8714041095890411	25.568607305936073	138	233344	41	0.8714041095890411	2.423002283105023
dutch_power_demand	100	10	2	0.6039189484685533	529	78044	178	1.0	14.14215182648402	88	70628	96	1.0	1.7013413242009132
dutch_power_demand	100	10	3	0.5155499573808515	711	139708	174	0.9851883561643836	20.391466894977167	80	130210	174	0.9851883561643836	2.6860159817351597
dutch_power_demand	100	10	4	0.4970994256070862	1240	190622	160	0.9373287671232877	24.64449200913242	82	173258	160	0.9373287671232877	3.047003424657534
dutch_power_demand	100	10	5	0.459990110533291	1752	239018	46	0.8965753424657534	20.010673515981736	113	210258	45	0.8965753424657534	2.20884703196347
dutch_power_demand	100	10	6	0.40503999991633116	1714	253470	84	0.880736301369863	26.012157534246576	101	227158	84	0.880736301369863	2.5851027397260276
dutch_power_demand	100	10	7	0.37140907728950895	1745	269886	94	0.8775114155251141	29.398059360730592	86	244470	94	0.8775114155251141	2.752939497716895
dutch_power_demand	100	10	8	0.3617193838837965	2187	305478	50	0.8705194063926941	28.489611872146117	115	271522	46	0.8705194063926941	2.1587328767123286
dutch_power_demand	100	10	9	0.36525216652747217	2181	323988	51	0.8667522831050228	22.132277397260275	140	287800	51	0.8667522831050228	2.0786529680365295
