dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
ecg0606	30	2	2	0.7195278562353332	7	116	47	0.9773814702044367	3.9795563288386253	5	100	47	0.9773814702044367	2.3392779469334495
ecg0606	30	2	3	0.7516777988579488	8	150	46	0.9921705089169204	7.338842975206612	2	110	23	0.9921705089169204	1.2274902131361463
ecg0606	30	2	4	0.8010465957082731	13	264	48	0.9934754240974336	8.092214006089604	4	206	46	0.9934754240974336	2.6855154414963027
ecg0606	30	2	5	0.7469537986019892	14	200	47	0.9917355371900827	8.96520226185298	4	132	47	0.9917355371900827	2.6237494562853416
ecg0606	30	2	6	0.6481523256122309	12	452	47	0.9934754240974336	8.16093953892997	3	390	46	0.9934754240974336	2.0756850804697695
ecg0606	30	2	7	0.6113048617511663	12	450	47	0.9939103958242714	10.972161809482383	3	390	46	0.9939103958242714	2.0556763810352328
ecg0606	30	2	8	0.6125101647547112	18	358	48	0.9939103958242714	11.059591126576773	4	266	46	0.9939103958242714	2.02131361461505
ecg0606	30	2	9	0.6249020633072238	17	628	47	0.996520226185298	12.440626359286647	3	536	46	0.996520226185298	1.7359721618094823
ecg0606	30	2	10	0.6191473867710593	29	874	47	0.9973901696389734	11.753371030882992	5	708	44	0.9973901696389734	2.1987820791648542
ecg0606	30	2	12	0.5861398227828462	27	650	48	0.9943453675511091	12.71509351892127	5	508	46	0.9943453675511091	2.751631143975642
ecg0606	30	4	2	0.6532457516374732	28	768	45	0.9960852544584602	8.863418877772945	7	600	43	0.9960852544584602	2.9665071770334928
ecg0606	30	4	3	0.5633577219468855	55	2228	45	0.9986950848194868	12.52892561983471	6	1836	45	0.9986950848194868	1.93605915615485
ecg0606	30	4	4	0.5057869370672614	103	3768	32	0.9995650282731623	11.846020008699435	9	3016	32	0.9995650282731623	2.1435406698564594
ecg0606	30	4	5	0.45080206013721325	127	4232	28	1.0	12.521096128751632	27	3432	28	1.0	2.517616354936929
ecg0606	30	4	6	0.42361284190134374	146	5424	40	1.0	14.791213571117877	21	4424	40	1.0	1.7746846454980427
ecg0606	30	4	7	0.40908646720562836	173	6400	41	0.9995650282731623	15.034362766420182	6	5064	41	0.9995650282731623	1.667246628969117
ecg0606	30	4	8	0.400789677464637	202	6628	26	0.998260113092649	14.878207916485428	18	5156	26	0.998260113092649	2.101348412353197
ecg0606	30	4	9	0.3948305001041227	207	7288	26	1.0	15.581992170508917	34	5904	26	1.0	1.9491083079599827
ecg0606	30	4	10	0.3913889504652095	243	7688	28	0.9995650282731623	14.49586776859504	17	5880	28	0.9995650282731623	1.9099608525445846
ecg0606	30	4	12	0.3828510286378606	259	8528	19	1.0	14.388864723792954	39	6768	19	1.0	1.8321009134406263
ecg0606	30	6	2	0.58152924067743	42	2324	45	0.9969551979121357	10.14354066985646	6	1982	45	0.9969551979121357	2.2140060896041756
ecg0606	30	6	3	0.4889239637595037	108	5810	30	0.9991300565463245	12.417572857764245	8	4852	30	0.9991300565463245	1.7424967377120488
ecg0606	30	6	4	0.43890624291427355	155	7748	22	0.9960852544584602	12.064375815571989	14	6338	21	0.9960852544584602	1.6485428447150936
ecg0606	30	6	5	0.3951811538791232	181	9470	25	0.9995650282731623	13.009134406263593	14	7730	23	0.9995650282731623	1.60852544584602
ecg0606	30	6	6	0.36534844780521786	219	10756	15	0.9995650282731623	13.142670726402784	21	8698	15	0.9995650282731623	1.6620269682470639
ecg0606	30	6	7	0.33863498527741476	213	10952	18	0.996520226185298	12.712918660287082	20	8952	18	0.996520226185298	1.7968682035667682
ecg0606	30	6	8	0.31224361393868366	228	11790	21	0.9930404523705959	13.13962592431492	20	9616	21	0.9930404523705959	1.7442366246193997
ecg0606	30	6	9	0.29633569269416254	217	12174	25	0.9865158764680296	12.268377555458896	23	10134	25	0.9865158764680296	1.7085689430187039
ecg0606	30	6	10	0.2885494383623323	242	12774	16	0.9921705089169204	11.62983906046107	30	10542	16	0.9921705089169204	1.8538494997825141
ecg0606	30	6	12	0.27634402526087437	217	13246	14	0.9778164419312745	9.990430622009569	33	11280	13	0.9778164419312745	1.813397129186603
ecg0606	30	8	2	0.5479056522452603	65	4832	33	0.9973901696389734	10.60069595476294	6	4156	33	0.9973901696389734	1.784688995215311
ecg0606	30	8	3	0.4539266887227541	139	9140	31	1.0	12.503697259678122	26	7824	31	1.0	1.8982166159199652
ecg0606	30	8	4	0.3985538350895611	185	11948	22	1.0	11.578077424967377	33	10088	22	1.0	1.7929534580252284
ecg0606	30	8	5	0.35603369010537456	197	13844	19	0.9956502827316225	11.668986515876467	22	11620	19	0.9956502827316225	1.8216615919965202
ecg0606	30	8	6	0.3269866129209489	210	15164	28	0.9956502827316225	12.39930404523706	22	12768	28	0.9956502827316225	1.8977816441931274
ecg0606	30	8	7	0.30719076246610305	219	16420	12	0.9926054806437582	10.612005219660722	32	13940	12	0.9926054806437582	1.612005219660722
ecg0606	30	8	8	0.28735205218815796	213	16376	13	0.9808612440191388	9.760330578512397	35	13988	12	0.9808612440191388	1.903871248368856
ecg0606	30	8	9	0.2706572012607384	209	17320	13	0.9760765550239234	9.116137451065681	37	15008	13	0.9760765550239234	1.5815571987820791
ecg0606	30	8	10	0.2566279490947155	223	17796	12	0.9638973466724663	8.946933449325794	39	15292	12	0.9638973466724663	1.6372335798173119
ecg0606	30	8	12	0.23562434348476854	195	17784	10	0.9290996085254458	7.394954327968682	36	15608	9	0.9290996085254458	1.546324488908221
ecg0606	30	10	2	0.5182003137079477	90	7914	37	0.9978251413658112	12.742061765985211	7	6812	37	0.9978251413658112	1.8938668986515876
ecg0606	30	10	3	0.42212885805226025	177	13328	25	0.9943453675511091	13.371030882992606	15	11012	25	0.9943453675511091	2.005219660722053
ecg0606	30	10	4	0.36689812296171104	202	17012	24	0.9991300565463245	11.381035232709873	21	14184	24	0.9991300565463245	1.642453240539365
ecg0606	30	10	5	0.3203807337855225	195	18394	15	0.9891257068290561	10.80426272292301	24	15724	15	0.9891257068290561	1.7612005219660722
ecg0606	30	10	6	0.2930267474446262	209	20462	14	0.9904306220095693	9.340582862113962	33	17614	14	0.9904306220095693	1.6789908655937364
ecg0606	30	10	7	0.2722502607105169	223	21248	14	0.9765115267507612	9.919530230535015	33	18174	14	0.9765115267507612	1.8377555458895172
ecg0606	30	10	8	0.2522115596946744	190	21422	18	0.9382340147890387	8.02131361461505	33	18822	18	0.9382340147890387	1.6468029578077426
ecg0606	30	10	9	0.23732372177506583	192	22288	10	0.9138755980861244	7.893866898651588	38	19784	10	0.9138755980861244	1.560678555893867
ecg0606	30	10	10	0.22587434522137567	155	21830	10	0.8964767290126142	6.167899086559373	36	19870	10	0.8964767290126142	1.5297955632883862
