dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
gps_track	100	2	2	0.7040130119852074	9	210	63	1.0	5.32098981077147	4	174	28	1.0	1.3368267831149927
gps_track	100	2	3	0.7600207013490422	21	440	102	1.0	5.533799126637555	13	376	35	1.0	2.1710625909752546
gps_track	100	2	4	0.7488464605707152	43	1074	71	1.0	5.712023289665211	14	856	56	1.0	1.9314701601164483
gps_track	100	2	5	0.6905622712392638	49	1122	88	1.0	6.633886462882096	15	872	48	1.0	2.046113537117904
gps_track	100	2	6	0.6284470644967415	51	1402	72	1.0	6.890887918486172	13	1122	72	1.0	2.371994177583697
gps_track	100	2	7	0.5986234509663796	60	1318	69	1.0	6.529432314410481	20	1040	69	1.0	2.485123726346434
gps_track	100	2	8	0.5930686518351507	61	1504	91	1.0	7.203318777292576	18	1162	52	1.0	2.2118777292576417
gps_track	100	2	9	0.5908018876551424	80	1988	82	1.0	7.827481804949054	23	1578	82	1.0	2.389636098981077
gps_track	100	2	10	0.585268342031272	80	2288	67	1.0	8.66014556040757	17	1808	66	1.0	2.2852983988355167
gps_track	100	2	12	0.5650369344765815	93	2644	93	1.0	8.772692867540028	15	2036	93	1.0	2.3953420669577876
gps_track	100	4	2	0.6289726819459838	85	3020	96	0.998136826783115	6.5023580786026205	9	2356	96	0.998136826783115	2.538981077147016
gps_track	100	4	3	0.5695627930497043	204	7888	60	1.0	9.890131004366813	54	6444	60	1.0	1.97117903930131
gps_track	100	4	4	0.49908999588998704	249	9484	55	0.999650655021834	10.464279475982533	25	7384	50	0.999650655021834	2.6180494905385734
gps_track	100	4	5	0.4627519231855135	337	13736	62	1.0	12.489781659388646	72	11212	62	1.0	1.9205240174672489
gps_track	100	4	6	0.4393536805275794	392	16696	40	1.0	13.63825327510917	71	13552	38	1.0	1.8203784570596797
gps_track	100	4	7	0.4197901614993266	448	18920	48	1.0	14.08	74	15324	44	1.0	1.8882096069868997
gps_track	100	4	8	0.4048552192291074	478	21180	56	1.0	14.994585152838427	81	17404	43	1.0	1.8574090247452693
gps_track	100	4	9	0.3949497275138867	510	24464	64	1.0	15.572634643377002	82	20016	64	1.0	1.81117903930131
gps_track	100	4	10	0.3866897230949309	554	26408	43	1.0	16.505036390101893	90	21768	38	1.0	1.8536244541484717
gps_track	100	4	12	0.3730919858392875	654	32028	57	1.0	18.20867540029112	92	26352	57	1.0	1.780320232896652
