dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
insect	100	2	2	0.9283942394354223	7	546	125	0.9979107515937216	6.79112872984411	2	506	125	0.9979107515937216	1.6555418653238334
insect	100	2	3	0.9636770151823422	28	692	97	1.0	5.772164782771736	10	556	70	1.0	1.9484116355065089
insect	100	2	4	0.8727567653884292	31	840	124	1.0	5.476241495687577	13	696	82	1.0	2.3090480527133446
insect	100	2	5	0.799763133486765	32	1114	124	0.9984464563132801	6.98408956982911	6	904	124	0.9984464563132801	2.894037606471313
insect	100	2	6	0.773201700941305	41	976	110	1.0	6.382332458348958	19	808	49	1.0	2.1518722879948573
insect	100	2	7	0.7665805312828285	49	1278	124	1.0	7.864895269727326	11	992	72	1.0	1.8407349868752343
insect	100	2	8	0.7604372854316384	61	2204	123	0.9990357315047945	8.355975786146676	6	1776	119	0.9990357315047945	2.1543901001767827
insect	100	2	9	0.7469808289349904	67	2062	168	0.9997321476402207	9.031767289869824	10	1618	139	0.9997321476402207	2.7991643006374884
insect	100	2	10	0.7341077715904084	73	1758	124	1.0	9.971768361279263	23	1374	112	1.0	2.8768950554454387
insect	100	2	12	0.7244827882152683	94	2482	145	1.0	10.319119301441045	36	2056	45	1.0	1.9814110462313173
insect	100	4	2	0.8594664583191133	147	5520	114	0.9996785771682648	8.535115444367065	15	4424	114	0.9996785771682648	2.5229013767611295
insect	100	4	3	0.7853153132859065	306	11772	66	0.9991428724487063	11.942251031231585	27	9384	62	0.9991428724487063	2.6514169389832323
insect	100	4	4	0.7398666682342052	448	16552	43	1.0	13.802324958482885	92	13476	35	1.0	2.107837360047142
insect	100	4	5	0.7063095976332988	578	22212	52	1.0	15.880912840842127	93	18064	52	1.0	1.8225745968821985
insect	100	4	6	0.6780034565469131	682	24752	48	0.9994107248084856	16.662881019981786	47	19384	48	0.9994107248084856	2.785878823592436
insect	100	4	7	0.6575960447089796	775	28660	40	1.0	17.750950875877216	110	23044	40	1.0	1.9809289119837146
insect	100	4	8	0.6430520329276261	884	32448	43	1.0	18.848609846252746	113	25808	42	1.0	1.875877216478277
insect	100	4	9	0.6335824322923539	950	36332	34	1.0	19.17587185943108	113	29132	34	1.0	1.8536990410885519
insect	100	4	10	0.6260260794029107	1051	40048	26	1.0	19.972411206942734	119	32084	26	1.0	1.7849145550972305
insect	100	4	12	0.6110338144930656	1167	45304	27	0.9998392885841324	20.189157336476136	78	35984	27	0.9998392885841324	2.1673541543901003
insect	100	6	2	0.8309594256011923	279	13982	80	0.9989285905608828	11.288691273370118	20	11284	80	0.9989285905608828	3.175282584239567
insect	100	6	3	0.7474963424993152	549	29686	28	1.0	14.315315797932179	104	24618	28	1.0	1.9938929661970322
insect	100	6	4	0.6961141937815946	739	41004	45	1.0	15.197300048213425	113	33810	45	1.0	1.830288744843842
insect	100	6	5	0.66103522344324	834	50468	21	0.9997857181121765	15.200782128890555	72	41456	19	0.9997857181121765	1.9725183478866448
insect	100	6	6	0.6315259352895896	906	58162	21	0.9995714362243532	14.973589757325762	91	48330	21	0.9995714362243532	1.991321583543151
insect	100	6	7	0.6085153767176521	861	62058	19	0.9968393421546043	13.739540365350619	94	52830	19	0.9968393421546043	2.111533722612096
insect	100	6	8	0.5931220137509836	847	68614	19	0.9933572614774736	12.809396260781057	104	59484	19	0.9933572614774736	1.895162586382386
insect	100	6	9	0.5812971342839971	853	74138	17	0.9940536776128998	12.285102051749076	110	65058	17	0.9940536776128998	1.8773236192210854
insect	100	6	10	0.5717547426730879	752	76868	12	0.9835538651095516	10.268388064498849	122	68994	12	0.9835538651095516	1.819413939036803
insect	100	6	12	0.5583191107030654	647	84378	11	0.955107944500991	8.418867520222854	122	77852	11	0.955107944500991	1.7701291048374137
insect	100	8	2	0.8122058291997183	422	32172	102	1.0	13.841806396314352	77	27520	102	1.0	2.0551240156425776
