dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
nprs43	100	2	2	1.3363200030549152	13	1166	265	0.9987236403995561	8.499889012208657	2	1076	265	0.9987236403995561	2.448834628190899
nprs43	100	2	3	0.973816084747857	8	254	31	0.9796892341842397	3.115760266370699	3	214	31	0.9796892341842397	1.2543840177580465
nprs43	100	2	4	1.003645231905147	19	536	203	0.9987236403995561	7.6865704772475025	8	456	60	0.9987236403995561	2.4482241953385127
nprs43	100	2	5	0.9384164814372259	23	1098	117	0.9907325194228634	5.593840177580466	3	930	117	0.9907325194228634	2.248834628190899
nprs43	100	2	6	0.9311292453986093	43	1124	107	0.9987236403995561	6.686903440621531	10	866	94	0.9987236403995561	2.5409544950055496
nprs43	100	2	7	0.9076564042018604	38	1334	191	0.9977802441731409	6.847891231964484	4	1074	191	0.9977802441731409	2.781021087680355
nprs43	100	2	8	0.9017534037621603	42	1846	265	0.9987236403995561	7.048723640399556	8	1572	265	0.9987236403995561	2.902108768035516
nprs43	100	2	9	0.8889666706469778	48	2242	212	0.9999445061043285	7.412486126526082	3	1870	212	0.9999445061043285	3.1882907880133184
nprs43	100	2	10	0.8841920746027696	61	2560	265	0.9987236403995561	7.8943396226415095	4	2100	265	0.9987236403995561	3.653718091009989
nprs43	100	2	12	0.8733927830318989	70	3016	265	0.9987236403995561	8.673140954495006	4	2504	265	0.9987236403995561	4.0308546059933406
nprs43	100	4	2	0.9799234823530925	249	11356	95	1.0	14.78085460599334	51	9696	95	1.0	1.980521642619312
nprs43	100	4	3	0.9618828715774403	488	20760	59	0.9997225305216426	20.087735849056603	27	16880	59	0.9997225305216426	3.127746947835738
nprs43	100	4	4	0.8872890703505192	592	23916	60	0.9997225305216426	20.58990011098779	32	19204	60	0.9997225305216426	3.2204217536071034
nprs43	100	4	5	0.825068409624894	668	27708	88	1.0	22.361875693673696	87	22732	88	1.0	1.8682574916759156
nprs43	100	4	6	0.8000206126205693	899	34484	52	0.9997225305216426	25.4492230854606	40	27304	52	0.9997225305216426	2.8534406215316315
nprs43	100	4	7	0.7900129694859366	1073	41240	40	1.0	27.15221975582686	113	33036	38	1.0	1.8278024417314096
nprs43	100	4	8	0.7784148879000793	1188	45536	32	1.0	27.757269700332962	111	36412	32	1.0	1.747891231964484
nprs43	100	4	9	0.7659511503920283	1270	48296	31	0.9995560488346282	27.87819089900111	61	37908	30	0.9995560488346282	2.5019422863485015
nprs43	100	4	10	0.7569091231151899	1395	52404	30	0.999889012208657	29.096170921198667	67	41192	30	0.999889012208657	2.5140954495005547
nprs43	100	4	12	0.7457590079515519	1556	59684	23	0.9998335183129856	28.678024417314095	69	47072	23	0.9998335183129856	2.2191453940066594
nprs43	100	6	2	0.8011154507105169	394	26882	151	1.0	20.804716981132074	55	23452	151	1.0	2.1410654827968925
nprs43	100	6	3	0.7770924337864276	906	53494	109	1.0	26.13168701442841	90	44570	109	1.0	1.977025527192009
nprs43	100	6	4	0.7500113657316131	1231	69908	31	0.9987791342952276	25.26476137624861	61	56392	31	0.9987791342952276	2.4173140954495005
nprs43	100	6	5	0.6943557936822129	1244	76828	57	1.0	24.731853496115427	110	63412	57	1.0	1.7461154273029966
nprs43	100	6	6	0.6533844235430473	1406	85768	24	0.9985016648168702	25.328357380688125	69	69904	24	0.9985016648168702	2.18834628190899
nprs43	100	6	7	0.6351843651372054	1387	93282	26	0.9943396226415094	21.94966703662597	93	77752	26	0.9943396226415094	1.9497225305216426
nprs43	100	6	8	0.6263204567470761	1225	98532	13	0.9859600443951165	17.303218645948945	103	84470	13	0.9859600443951165	1.7892341842397337
nprs43	100	6	9	0.6160392384586516	1053	100490	13	0.9871254162042176	14.560432852386237	109	88704	13	0.9871254162042176	1.767480577136515
nprs43	100	6	10	0.6048777982856072	966	102950	10	0.9892341842397336	13.116592674805771	115	92354	10	0.9892341842397336	1.7422863485016649
nprs43	100	6	12	0.5902582825867435	726	105806	7	0.9665926748057714	9.225249722530522	127	98164	7	0.9665926748057714	1.6497225305216425
nprs43	100	8	2	0.724599590553038	584	48444	123	1.0	23.992563817980024	63	42016	123	1.0	2.156215316315205
nprs43	100	8	3	0.6809035415035889	1168	88296	56	0.9999445061043285	26.740843507214205	52	72380	56	0.9999445061043285	2.6333518312985573
nprs43	100	8	4	0.6568755769859629	1265	112352	25	0.9991675915649278	20.86870144284129	85	94160	25	0.9991675915649278	1.9252497225305216
nprs43	100	8	5	0.6017515040988295	1038	119524	24	0.9943396226415094	16.390177580466148	101	104724	24	0.9943396226415094	1.8304106548279688
nprs43	100	8	6	0.5556685947497861	1059	129312	13	0.9933962264150943	15.385072142064374	97	113876	13	0.9933962264150943	1.7902885682574916
nprs43	100	8	7	0.5334230294012453	802	134556	12	0.9619866814650389	10.695394006659267	115	123332	12	0.9619866814650389	1.667369589345172
nprs43	100	8	8	0.5246128451053981	507	136744	6	0.9273584905660377	6.127857935627081	132	130420	6	0.9273584905660377	1.6252497225305216
nprs43	100	8	9	0.5158890066625856	321	136920	5	0.9026082130965594	3.8082130965593786	126	133644	5	0.9026082130965594	1.4961154273029966
nprs43	100	8	10	0.505071756644679	288	139568	5	0.8024972253052164	3.5315205327413985	115	136704	4	0.8024972253052164	1.4288568257491676
nprs43	100	8	12	0.48914639933174653	132	140816	4	0.6387347391786904	1.5272475027746948	91	140128	4	0.6387347391786904	1.044062153163152
nprs43	100	10	2	0.6711686015606393	751	69260	92	0.999889012208657	25.14012208657048	27	58010	92	0.999889012208657	3.5849611542730297
nprs43	100	10	3	0.6180720229361356	1375	132174	43	0.9982796892341842	26.33118756936737	73	108794	43	0.9982796892341842	2.3890122086570478
nprs43	100	10	4	0.5953307479681621	1082	154960	18	0.9827968923418424	16.063374028856824	105	135940	18	0.9827968923418424	1.904439511653718
nprs43	100	10	5	0.539885769456831	707	159186	15	0.9711431742508324	10.263762486126526	111	147494	15	0.9711431742508324	1.7705327413984462
nprs43	100	10	6	0.49054124259548315	628	167012	12	0.9165926748057713	8.502552719200889	107	156584	12	0.9165926748057713	1.5982796892341842
nprs43	100	10	7	0.4648544775336335	384	172048	5	0.8030521642619312	4.622253052164262	113	166438	5	0.8030521642619312	1.3830743618201997
nprs43	100	10	8	0.4543515961468884	177	173646	3	0.687180910099889	2.0435627081021086	100	172016	3	0.687180910099889	1.150943396226415
