dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
stdb_308	100	2	2	1.0247451879328446	6	272	58	1.0	6.537222222222222	2	240	58	1.0	2.0424074074074072
stdb_308	100	2	3	0.9222721948071684	8	158	19	1.0	3.448148148148148	4	124	19	1.0	2.0948148148148147
stdb_308	100	2	4	0.8722968051669469	17	408	35	0.99	5.250925925925926	5	312	35	0.99	2.4125925925925924
stdb_308	100	2	5	0.8251049115853439	20	506	44	1.0	6.482037037037037	4	384	44	1.0	2.459814814814815
stdb_308	100	2	6	0.7854797351623068	13	272	58	1.0	5.166296296296296	6	224	23	1.0	1.8955555555555557
stdb_308	100	2	7	0.7660870703277244	16	712	64	1.0	6.180555555555555	3	588	64	1.0	2.5144444444444445
stdb_308	100	2	8	0.7686761897681703	22	658	58	1.0	6.91	6	510	27	1.0	1.8396296296296297
stdb_308	100	2	9	0.761138347439434	33	872	75	1.0	8.618703703703703	7	664	75	1.0	2.5235185185185185
stdb_308	100	2	10	0.747337781713665	38	910	51	1.0	8.443518518518518	12	720	20	1.0	1.9861111111111112
stdb_308	100	2	12	0.7338798178698009	34	1162	59	1.0	9.090185185185184	5	910	59	1.0	2.151666666666667
stdb_308	100	4	2	0.9326413893462517	83	2920	33	1.0	10.074444444444444	16	2344	33	1.0	2.118888888888889
stdb_308	100	4	3	0.7966736094661866	89	3708	19	0.9987037037037036	8.741296296296296	13	2940	19	0.9987037037037036	2.0794444444444444
stdb_308	100	4	4	0.722571015123632	116	4580	31	1.0	10.331666666666667	19	3612	31	1.0	1.912962962962963
stdb_308	100	4	5	0.6962195833200894	172	6304	15	0.9972222222222222	13.19648148148148	16	4864	15	0.9972222222222222	2.1414814814814815
stdb_308	100	4	6	0.6721649943441173	192	7900	17	1.0	13.076296296296297	26	6252	17	1.0	1.707962962962963
stdb_308	100	4	7	0.6492415094163355	211	8612	15	1.0	14.654074074074074	29	6920	15	1.0	1.886111111111111
