dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
winding_col	100	2	2	1.2389993044833407	5	148	30	1.0	5.8088	2	124	30	1.0	2.1484
winding_col	100	2	3	1.0349050464940246	6	118	9	1.0	3.078	4	96	9	1.0	1.8892
winding_col	100	2	4	0.9605277411753353	6	162	29	1.0	5.1912	2	132	29	1.0	2.0524
winding_col	100	2	5	0.9420518421652768	9	200	25	1.0	4.9956	3	152	25	1.0	2.852
winding_col	100	2	6	0.9148235759693145	14	310	26	1.0	6.366	3	226	26	1.0	1.7732
winding_col	100	2	7	0.9009986548100228	17	370	25	1.0	7.3152	5	272	25	1.0	1.9384
winding_col	100	2	8	0.8886455406987267	17	364	30	1.0	7.2228	5	270	30	1.0	2.4192
winding_col	100	2	9	0.8789777876413202	17	502	32	1.0	8.7016	3	372	32	1.0	1.8864
winding_col	100	2	10	0.8727053049332902	23	504	27	1.0	8.2032	5	366	27	1.0	2.8212
winding_col	100	2	12	0.8631280073630718	28	626	25	1.0	9.16	5	462	25	1.0	2.3096
winding_col	100	4	2	0.974837259202713	40	1496	13	0.9892	9.2748	7	1132	12	0.9892	1.9808
winding_col	100	4	3	0.9052414198051912	55	2136	11	0.9948	10.6152	9	1592	11	0.9948	2.3172
winding_col	100	4	4	0.8550674087336615	75	2964	6	0.9996	10.5	12	2208	6	0.9996	1.5024
winding_col	100	4	5	0.8112519730501521	84	3728	6	0.9976	10.75	12	2732	6	0.9976	1.7552
winding_col	100	4	6	0.7794658509526261	87	4204	7	0.9948	10.7096	13	3124	5	0.9948	1.476
winding_col	100	4	7	0.7621619791134642	101	4972	7	0.9992	11.8036	11	3756	7	0.9992	1.3576
winding_col	100	4	8	0.7480828914965472	110	5344	7	0.9992	12.1472	14	4044	5	0.9992	1.5804
winding_col	100	4	9	0.7398231992904587	116	5892	6	0.9988	11.218	15	4496	6	0.9988	1.8056
winding_col	100	4	10	0.731451280556103	131	6568	6	0.9988	13.1032	13	4956	6	0.9988	1.378
winding_col	100	4	12	0.7172998400683122	136	7012	5	0.9992	13.4492	14	5472	5	0.9992	1.4604
winding_col	100	6	2	0.8337096882235406	56	3718	8	0.9996	9.1508	11	2786	8	0.9996	1.8084
winding_col	100	6	3	0.7850305911047678	85	6584	5	0.996	8.8964	12	4990	5	0.996	1.356
winding_col	100	6	4	0.7517246183649168	101	8566	4	0.9996	9.7072	13	6618	3	0.9996	1.1588
winding_col	100	6	5	0.7141863114671257	105	9650	5	0.9924	9.8604	12	7530	3	0.9924	1.142
winding_col	100	6	6	0.6808982589603433	124	10630	5	0.9884	11.3384	15	8496	5	0.9884	1.388
winding_col	100	6	7	0.6594905860680156	120	11640	4	0.9832	10.8412	14	9386	4	0.9832	1.2916
