dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
winding_col	30	2	2	0.8848627753912222	7	128	74	0.9944	6.4256	3	100	37	0.9944	2.0396
winding_col	30	2	3	0.8692694943784709	15	344	56	0.9964	6.0268	4	256	56	0.9964	2.7072
winding_col	30	2	4	0.8490312249467665	26	572	74	1.0	8.3772	5	412	54	1.0	1.9132
winding_col	30	2	5	0.7862455060389137	28	548	65	0.9956	7.5144	5	376	42	0.9956	1.6972
winding_col	30	2	6	0.7301823741569992	23	566	74	0.9948	7.5348	4	418	74	0.9948	2.8168
winding_col	30	2	7	0.7132476754029161	28	614	73	0.9956	9.4416	7	458	67	0.9956	2.4928
winding_col	30	2	8	0.7088316749524312	32	906	74	0.9972	10.894	7	718	54	0.9972	2.66
winding_col	30	2	9	0.7068480748748792	31	1268	74	0.9976	11.4936	5	1076	72	0.9976	2.4452
winding_col	30	2	10	0.6971360585071974	50	1486	72	0.9948	11.2412	7	1164	62	0.9948	2.2312
winding_col	30	2	12	0.6767846222477598	43	896	69	0.9972	12.786	13	682	42	0.9972	2.3428
winding_col	30	4	2	0.6949131701183924	60	2296	54	0.9996	10.2304	6	1864	36	0.9996	1.9324
winding_col	30	4	3	0.6257500669086742	146	4744	37	0.9988	13.0044	13	3680	37	0.9988	2.046
winding_col	30	4	4	0.584783817431931	215	6288	25	0.9996	13.0264	20	4728	23	0.9996	1.8404
winding_col	30	4	5	0.5434048069643149	253	7648	25	1.0	14.2652	29	5856	25	1.0	1.8208
winding_col	30	4	6	0.5068907388696648	256	8080	33	0.9976	14.8984	18	6176	33	0.9976	2.17
winding_col	30	4	7	0.4870904080516798	293	8992	30	0.9996	15.3604	26	6856	30	0.9996	1.842
winding_col	30	4	8	0.4755227489221958	339	10088	20	0.996	16.0136	27	7592	13	0.996	1.6724
winding_col	30	4	9	0.4694250045614432	345	10332	18	0.9984	15.3032	33	7836	14	0.9984	1.736
winding_col	30	4	10	0.4624468582108193	363	10984	24	1.0	15.0472	42	8416	24	1.0	1.6548
winding_col	30	4	12	0.4486510609036108	353	11120	23	0.9956	13.9196	33	8560	23	0.9956	1.744
winding_col	30	6	2	0.6193798317009649	99	3858	35	0.9988	11.6588	11	3026	35	0.9988	2.386
winding_col	30	6	3	0.5399459311737006	218	9160	26	0.9996	13.1644	24	7200	24	0.9996	1.7972
winding_col	30	6	4	0.498493735599271	293	12418	20	0.9944	13.1452	31	9710	20	0.9944	1.6816
winding_col	30	6	5	0.45647307315705343	329	13930	23	0.9956	12.7704	31	10828	23	0.9956	1.604
winding_col	30	6	6	0.41704875171429845	316	14802	18	0.9996	12.9736	34	11816	18	0.9996	1.7176
winding_col	30	6	7	0.3901815968504723	356	15518	21	0.9932	13.772	32	12134	21	0.9932	1.8052
winding_col	30	6	8	0.37581755357840885	356	16466	9	0.9944	12.2956	35	13066	9	0.9944	1.5068
winding_col	30	6	9	0.3651468880708406	326	15978	16	0.9924	10.7504	49	13000	16	0.9924	1.7108
